,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_42,24.631249140867205,24.551631936062183,0.07961720480502166,0:00:01.088457,0
gene_43,-33.03458725412755,-33.50702475155699,0.4724374974294392,0:00:00.668809,0
gene_44,9.577970477583975,13.639691300262136,-4.061720822678161,0:00:00.498944,0
gene_45,-33.04380803227359,-33.043783052140355,-2.498013323304349e-05,0:00:00.501113,0
gene_46,14.733624313636689,18.275378052433645,-3.541753738796956,0:00:00.487137,0
gene_47,-30.49186297461979,-35.084544574487325,4.592681599867536,0:00:00.516062,0
gene_48,20.547656366877327,24.754148575880677,-4.2064922090033505,0:00:00.501717,0
gene_49,-36.26858200746093,-37.65426097994159,1.3856789724806617,0:00:00.505607,0
gene_50,18.05770956927133,18.05771186476115,-2.2954898177829364e-06,0:00:00.535684,0
gene_51,-28.96471096488166,-29.679857999667284,0.7151470347856232,0:00:00.501647,0
gene_52,21.107879053901296,21.10788183603804,-2.78213674320682e-06,0:00:00.746650,0
gene_53,-30.881456427972427,-30.88062491684432,-0.0008315111281085308,0:00:00.638295,0
gene_54,27.4699702645851,26.531723305966466,0.9382469586186346,0:00:00.684942,0
gene_55,-38.68508672539964,-39.75067035653834,1.0655836311387006,0:00:00.684810,0
gene_56,17.23275408948418,17.232755454561843,-1.3650776615747873e-06,0:00:00.697793,0
gene_57,-34.8016425897748,-35.30864194802833,0.5069993582535304,0:00:00.655011,0
gene_58,27.49744373448008,27.497537018888703,-9.328440862432785e-05,0:00:00.857870,0
gene_59,-33.5294634345877,-36.5437080624812,3.014244627893504,0:00:00.594072,0
gene_60,29.60813405072134,29.608157048957818,-2.2998236477889122e-05,0:00:00.691543,0
gene_61,-36.799148274285955,-38.97560448276028,2.1764562084743275,0:00:00.672265,0
gene_62,19.94870631109008,19.948763579037283,-5.726794720217754e-05,0:00:00.824698,0
gene_63,-34.143442667617315,-35.71715548526516,1.573712817647845,0:00:00.641867,0
gene_64,24.148084569382874,24.14808840901281,-3.839629936663869e-06,0:00:01.003618,0
gene_65,-30.619094691560218,-35.03415096412734,4.415056272567124,0:00:00.652906,0
gene_66,30.185320176173885,30.185367612626628,-4.7436452742743995e-05,0:00:00.627522,0
gene_67,-38.129854603375094,-41.138035431339276,3.008180827964182,0:00:00.533248,0
gene_68,18.53984247942579,18.53987188360514,-2.9404179350933646e-05,0:00:00.638105,0
gene_69,-38.02723003420979,-39.07519295357147,1.047962919361673,0:00:00.523965,0
gene_70,19.72651634839906,19.72729336155344,-0.0007770131543800574,0:00:00.554735,0
gene_71,-31.532502204261462,-31.532116201467865,-0.00038600279359712886,0:00:00.522776,0
gene_72,24.798655126044853,24.79939914449087,-0.0007440184460172361,0:00:00.576147,0
gene_73,-33.42751147102951,-39.220581173438234,5.793069702408722,0:00:00.519109,0
