,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,Dynamic_time,Constant_time
gene_54,-85.36797840165983,-85.36786419513705,0.0,0:00:01.764168,0:00:01.764168
gene_55,-49.61900992213392,-51.25597898898462,1.6369690668507033,0:00:00.933308,0:00:00.933308
gene_56,-101.10336851965967,-101.92963038547654,0.8262618658168748,0:00:01.100335,0:00:01.100335
gene_57,-52.09887231647668,-60.49642067512642,8.397548358649743,0:00:00.926752,0:00:00.926752
gene_58,-97.33777186926119,-98.26864416481891,0.9308722955577196,0:00:01.252862,0:00:01.252862
gene_59,-72.69714161127825,-74.98621187407845,2.2890702628001947,0:00:00.932261,0:00:00.932261
gene_60,-93.6256199181422,-95.15451527347778,1.5288953553355782,0:00:01.374921,0:00:01.374921
gene_61,-40.6033685448601,-43.62090226496943,3.017533720109327,0:00:00.923575,0:00:00.923575
gene_62,-105.7685095233602,-105.76836097622756,0.0,0:00:01.433704,0:00:01.433704
gene_63,-46.06739109737248,-52.701493128413446,6.6341020310409675,0:00:00.890754,0:00:00.890754
gene_64,-95.26116170812308,-95.22304063564233,0.0,0:00:01.366386,0:00:01.366386
gene_65,-87.90703838737272,-87.9070198192012,0.0,0:00:01.260741,0:00:01.260741
gene_66,-91.03067992568197,-91.03054533306123,0.0,0:00:01.620638,0:00:01.620638
gene_67,-40.06937345887004,-46.10973512421171,6.0403616653416705,0:00:00.924049,0:00:00.924049
gene_68,-100.48284034277748,-100.48266283501117,0.0,0:00:01.397878,0:00:01.397878
gene_69,-48.67859170403024,-61.40979731255649,12.731205608526253,0:00:00.974102,0:00:00.974102
gene_70,-88.76059810279611,-88.76015523780448,0.0,0:00:01.569444,0:00:01.569444
gene_71,-64.8476366509839,-66.24094871558832,1.393312064604416,0:00:00.977943,0:00:00.977943
gene_72,-84.61300485286908,-83.63347389085196,0.0,0:00:01.180496,0:00:01.180496
gene_73,-49.208040834165566,-57.32664911128558,8.118608277120018,0:00:00.914457,0:00:00.914457
gene_74,-87.21594418009366,-87.25212463085813,0.03618045076447629,0:00:01.195404,0:00:01.195404
gene_75,-44.66492917485505,-51.62049815706577,6.955568982210721,0:00:00.936608,0:00:00.936608
gene_76,-75.15334665095921,-75.15528713556358,0.0019404846043755697,0:00:01.361483,0:00:01.361483
gene_77,-42.407218420446824,-48.50952396237092,6.102305541924096,0:00:00.919390,0:00:00.919390
gene_78,-70.0855569420043,-70.29879785002029,0.21324090801599027,0:00:01.312151,0:00:01.312151
gene_79,-30.04807926381172,-30.799813833371,0.7517345695592823,0:00:00.900614,0:00:00.900614
gene_80,-75.15907455798184,-75.15899491311998,0.0,0:00:01.259980,0:00:01.259980
gene_81,-43.384054044284014,-49.68592271723738,6.301868672953368,0:00:00.896403,0:00:00.896403
gene_82,-92.26273804549533,-92.47754044269944,0.2148023972041102,0:00:01.261635,0:00:01.261635
gene_83,-81.41891372852047,-83.67823684085343,2.2593231123329645,0:00:00.953304,0:00:00.953304
gene_84,-89.73149334848051,-89.72944669237565,0.0,0:00:01.595096,0:00:01.595096
gene_85,-45.72010681640687,-49.686854401727814,3.9667475853209453,0:00:02.996906,0:00:02.996906
gene_86,-99.08049555637388,-100.59021700263618,1.5097214462623043,0:00:01.030550,0:00:01.030550
gene_87,-55.22476332034931,-64.07153440948545,8.84677108913614,0:00:00.939020,0:00:00.939020
gene_88,-98.58383347127919,-98.58347554476096,0.0,0:00:01.629413,0:00:01.629413
gene_89,-67.84760451209276,-69.03930105475652,1.1916965426637631,0:00:01.006284,0:00:01.006284
gene_90,-91.15577353215126,-91.15522019052632,0.0,0:00:01.549277,0:00:01.549277
gene_91,-28.94245464238398,-31.925382465807868,2.982927823423889,0:00:00.918084,0:00:00.918084
gene_92,-67.51525192541315,-67.51514751846372,0.0,0:00:01.416171,0:00:01.416171
gene_93,-34.316543844721004,-36.529435855192325,2.2128920104713217,0:00:00.907968,0:00:00.907968
