,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,Dynamic_time,Constant_time
gene_59,4.128375789618552,2.2463208159636956,1.8820549736548564,0:00:01.317827,0:00:01.317827
gene_60,30.413265213477494,30.413386605032212,0.0,0:00:01.412615,0:00:01.412615
gene_61,-3.1214677199126655,-2.3150066058845944,0.0,0:00:00.228077,0:00:00.228077
gene_62,24.2188024327545,24.218802756220015,0.0,0:00:01.416565,0:00:01.416565
gene_63,-0.17269173130832627,0.8142360852836745,0.0,0:00:00.231738,0:00:00.231738
gene_64,23.81152714995946,23.811633605326985,0.0,0:00:01.367456,0:00:01.367456
gene_65,8.061280300438703,8.923105604794848,0.0,0:00:01.298151,0:00:01.298151
gene_66,35.614338571679866,35.383494762150924,0.2308438095289418,0:00:01.386246,0:00:01.386246
gene_67,-12.887339342761223,-13.831456960140967,0.9441176173797441,0:00:00.235052,0:00:00.235052
gene_68,12.718582201182318,19.159560022618635,0.0,0:00:01.452387,0:00:01.452387
gene_69,-0.391395047980005,-1.8630558135905417,1.4716607656105367,0:00:00.452927,0:00:00.452927
gene_70,22.388325589392828,22.3883691302435,0.0,0:00:01.325453,0:00:01.325453
gene_71,14.510133163048042,11.655987886656778,2.8541452763912645,0:00:01.288328,0:00:01.288328
gene_72,33.9434543083494,33.75569788095725,0.18775642739215215,0:00:01.345369,0:00:01.345369
gene_73,-12.16094554430052,-6.513939749136746,0.0,0:00:00.228223,0:00:00.228223
gene_74,27.05738919088606,27.00304576708544,0.05434342380062063,0:00:01.335787,0:00:01.335787
gene_75,-3.039736583220705,0.2363152423013375,0.0,0:00:00.228120,0:00:00.228120
gene_76,30.805029055795753,30.805065661545353,0.0,0:00:01.459159,0:00:01.459159
gene_77,6.193061208776008,6.322252445328733,0.0,0:00:01.276859,0:00:01.276859
gene_78,31.36447615991011,31.36456803396363,0.0,0:00:01.393612,0:00:01.393612
gene_79,-7.412678093255842,-3.755360200998652,0.0,0:00:00.230298,0:00:00.230298
gene_80,18.803320023362673,18.803336082810446,0.0,0:00:01.396522,0:00:01.396522
gene_81,-6.037108387605247,-1.9834695285362756,0.0,0:00:00.229954,0:00:00.229954
gene_82,22.246970778702362,22.124418037599973,0.122552741102389,0:00:01.336892,0:00:01.336892
gene_83,3.9059633855489473,-0.4858095424298803,4.391772927978828,0:00:01.364954,0:00:01.364954
gene_84,28.593658131181442,27.27543810003447,1.3182200311469714,0:00:01.464030,0:00:01.464030
gene_85,-6.01166827872288,-4.873505222310129,0.0,0:00:00.227320,0:00:00.227320
gene_86,23.275906622632,23.275174300029228,0.0007323226027722285,0:00:01.365677,0:00:01.365677
gene_87,-1.9167164600151771,-1.6870885134681153,0.0,0:00:00.227546,0:00:00.227546
gene_88,28.36887566531749,28.3688781297099,0.0,0:00:01.394077,0:00:01.394077
gene_89,22.950000390931432,19.945117100479287,3.0048832904521454,0:00:01.533156,0:00:01.533156
gene_90,36.02760994313531,36.027638226600644,0.0,0:00:01.387093,0:00:01.387093
