,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_137,-11518.736328435247,-15669.830973621014,4151.094645185767,0:00:02.486122,0
gene_138,-142.52322753353062,-137.58620618776533,-4.937021345765288,0:00:06.260627,0
gene_139,-2862.962221923853,-8992.251376936123,6129.2891550122695,0:00:03.860020,0
gene_140,-98.47219243717842,-97.42458807504599,-1.0476043621324322,0:00:07.895512,0
gene_141,-11937.011891542155,-52423.85359735306,40486.841705810904,0:00:03.900358,0
gene_142,-216.5491506634056,-220.54584202058297,3.9966913571773546,0:00:11.143795,0
gene_143,-7306.468751152898,-34559.75657132927,27253.287820176374,0:00:14.955730,0
gene_144,-171.13170537498297,-164.6991505039919,-6.432554870991083,0:00:10.233701,0
gene_145,-16037.005774293024,-47567.29802576937,31530.29225147635,0:00:10.472831,0
gene_146,-304.71120186942926,-315.1533253050935,10.442123435664257,0:00:10.455224,0
gene_147,-5918.31946907205,-21042.60754654351,15124.28807747146,0:00:05.410252,0
gene_148,-211.19980093552985,-211.5202315033441,0.32043056781424184,0:00:04.807532,0
gene_149,-12159.533575750296,-113669.59226968554,101510.05869393525,0:00:05.019380,0
gene_150,-244.21804535962627,-262.51360127474976,18.295555915123487,0:00:26.034645,0
gene_151,-8274.824113067476,-32986.21807198641,24711.393958918936,0:00:02.042940,0
gene_152,-168.86075380880652,-141.5732629910605,-27.287490817746033,0:01:02.937429,0
gene_153,-3314.9243057773774,-16466.391094603445,13151.466788826066,0:00:02.659206,0
gene_154,-126.25967951220508,-124.13686135874741,-2.122818153457672,0:00:14.826960,0
gene_155,-14376.420055339964,-24089.828147075947,9713.408091735982,0:00:04.166909,0
gene_156,-232.51806615387284,-229.83359294393225,-2.6844732099405917,0:00:05.851395,0
gene_157,-17447.377406613974,-64265.51798375596,46818.14057714199,0:00:02.486875,0
gene_158,-192.43001796747228,-211.69600636884203,19.265988401369754,0:00:08.859728,0
gene_159,-7306.768600441908,-28224.35103361007,20917.58243316816,0:00:03.239037,0
gene_160,-158.17233145328095,-155.62772869710014,-2.544602756180808,0:00:08.164590,0
gene_161,-8221.74721511858,-56394.54983181576,48172.80261669718,0:00:04.158110,0
gene_162,-177.53117519056534,-174.02649864336797,-3.504676547197363,0:00:07.965412,0
gene_163,-7014.390183622869,-13287.629757031085,6273.2395734082165,0:00:02.342304,0
gene_164,-151.1389898008885,-154.3740319637965,3.2350421629080017,0:00:07.257670,0
gene_165,-10045.310587589614,-46150.50350247428,36105.19291488467,0:00:03.473653,0
gene_166,-268.0404072733686,-319.78117389489506,51.74076662152646,0:00:09.213280,0
gene_167,-9386.800199958618,-56677.26657918883,47290.46637923021,0:00:04.344987,0
gene_168,-284.8014602262451,-287.7494105701385,2.9479503438933534,0:00:09.276671,0
gene_169,-9191.83866509231,-41828.413762424876,32636.575097332567,0:00:02.781164,0
gene_170,-314.0294903466959,-309.08627451364816,-4.943215833047759,0:00:04.644006,0
gene_171,-1334.8774147982845,-19761.97989970717,18427.102484908886,0:00:02.643450,0
gene_172,-183.41605809528218,-183.8846543904149,0.46859629513272694,0:00:26.674116,0
gene_173,-6711.948877485216,-70964.96870640118,64253.01982891597,0:00:03.277433,0
gene_174,-234.78992735223937,-308.411009425008,73.62108207276862,0:00:08.156099,0
gene_175,-5751.476849420127,-48964.6503296666,43213.17348024647,0:00:03.136385,0
gene_176,-280.4761996409306,-285.48604685602345,5.0098472150928615,0:00:09.884964,0
gene_177,-4179.391550719209,-20961.117716814155,16781.726166094944,0:00:02.748545,0
gene_178,-155.49014988616864,-157.86880150353971,2.3786516173710766,0:00:27.509191,0
gene_179,-5097.2444119212405,-177487.54833810916,172390.30392618792,0:00:04.424368,2
gene_180,-306.0454457867256,-391.0172669196599,84.97182113293428,0:00:07.476654,0
gene_181,-9060.199000790057,-20724.598726335462,11664.399725545405,0:00:02.756389,0
gene_182,-146.52564997004998,-153.69889053047203,7.173240560422045,0:00:04.570815,0
gene_183,-8139.038066872823,-22240.72200682988,14101.683939957058,0:00:02.184324,0
gene_184,-167.6595505022705,-173.09995178725572,5.440401284985228,0:00:06.564519,0
gene_185,-6387.534758062349,-11388.299558996032,5000.764800933683,0:00:01.746965,0
