,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_27,-33.435169011234876,-33.26580409704177,-0.1693649141931033,0:00:00.516696,0
gene_28,4.404865641564182,4.137916864401415,0.2669487771627672,0:00:00.536119,0
gene_29,-31.582268723293307,-34.21349065294269,2.6312219296493815,0:00:00.493343,0
gene_30,-4.4028295512350795,-5.081014071419798,0.6781845201847183,0:00:00.585388,0
gene_31,-33.974456203018256,-35.077537116992815,1.1030809139745585,0:00:00.564798,0
gene_32,-9.642395112283136,-9.817359221321869,0.17496410903873283,0:00:00.483922,0
gene_33,-33.01941313359012,-33.01934415416055,-6.897942957095893e-05,0:00:00.511581,0
gene_34,-3.1438525077766144,-3.2983403445908053,0.15448783681419087,0:00:00.525686,0
gene_35,-31.318891618806063,-34.82711778738965,3.5082261685835903,0:00:00.504649,0
gene_36,-3.833215720918915,-3.8332154610260574,-2.598928574570891e-07,0:00:00.552845,0
gene_37,-30.192488585376925,-32.12475700954981,1.9322684241728858,0:00:00.695404,0
gene_38,-16.504001301582115,-15.805320855023753,-0.6986804465583614,0:00:00.645178,0
gene_39,-30.319372403951927,-33.070760558194934,2.7513881542430063,0:00:00.694850,0
gene_40,-11.901573680914678,-11.901572210605265,-1.4703094137757944e-06,0:00:00.660108,0
gene_41,-23.41581896642905,-34.78929702461259,11.373478058183537,0:00:00.634963,0
gene_42,-4.8590149236588225,-6.851486947383812,1.9924720237249893,0:00:00.628615,0
gene_43,-33.87665102866349,-37.91244050261443,4.035789473950942,0:00:00.510807,0
gene_44,-12.358046768771384,-12.35804518829194,-1.5804794433194047e-06,0:00:00.726880,0
gene_45,-29.866530759517467,-32.84619218126326,2.9796614217457957,0:00:00.665057,0
gene_46,-5.83193005711405,-5.831929869903647,-1.8721040362379426e-07,0:00:00.804859,0
gene_47,-27.43571359602704,-26.28514734996598,-1.1505662460610608,0:00:00.538635,0
gene_48,-2.9735141943439345,-3.4665658469861533,0.49305165264221884,0:00:00.503509,0
gene_49,-30.670723651415013,-33.036196094410855,2.3654724429958414,0:00:00.495288,0
gene_50,-13.410331292013733,-13.410126467401227,-0.0002048246125063713,0:00:00.507944,0
gene_51,-31.73694757655626,-33.362012744598715,1.625065168042454,0:00:00.475655,0
gene_52,-9.291152125504993,-9.525563266161523,0.23441114065652968,0:00:00.479032,0
gene_53,-22.835034980815482,-24.20305488416219,1.3680199033467062,0:00:00.519279,0
gene_54,-5.9762146797823625,-5.976015625123768,-0.00019905465859437754,0:00:00.495346,0
gene_55,-34.62351177595368,-34.623463016989646,-4.875896403433444e-05,0:00:00.517126,0
gene_56,-11.986770240557936,-12.865603187781696,0.8788329472237599,0:00:00.528872,0
gene_57,-31.41966493489525,-34.77299812698557,3.3533331920903215,0:00:00.470060,0
gene_58,-7.324848937055492,-7.982343755783191,0.6574948187276988,0:00:00.542085,0
gene_59,-34.27702527020619,-35.0414098877025,0.7643846174963116,0:00:00.545639,0
gene_60,-2.375854936995463,-3.746320037314664,1.3704651003192012,0:00:00.485031,0
gene_61,-34.11426939561186,-36.263213088372794,2.1489436927609304,0:00:00.477864,0
gene_62,-11.855594282234499,-11.855589318362254,-4.963872244800882e-06,0:00:00.565210,0
gene_63,-31.056364755735014,-31.750720353675188,0.6943555979401737,0:00:00.539236,0
gene_64,-8.920821071714983,-8.920687884541817,-0.0001331871731657941,0:00:00.572316,0
gene_65,-27.557646395829913,-25.75217778775465,-1.8054686080752624,0:00:00.484189,0
gene_66,-3.830758983959079,-3.8307564756293324,-2.508329746575555e-06,0:00:00.940285,0
gene_67,-30.166262419531954,-36.88949692822978,6.7232345086978285,0:00:00.473491,0
gene_68,-13.589970065455555,-13.589957667803178,-1.2397652376705537e-05,0:00:00.490854,0
gene_69,-25.425811858720436,-35.22181605870618,9.796004199985745,0:00:00.615644,0
gene_70,-5.470299158244551,-5.470221038929928,-7.811931462242683e-05,0:00:00.513835,0
gene_71,-20.524345139612553,-21.57846952531217,1.054124385699616,0:00:00.507715,0
