,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,Dynamic_time,Constant_time
gene_52,19.524751325624234,19.33218048125781,0.19257084436642202,0:00:01.284158,0:00:01.284158
gene_53,2.1091114697167512,1.0154716371514851,1.093639832565266,0:00:01.280521,0:00:01.280521
gene_54,22.811437511039472,22.811437690740586,0.0,0:00:01.404746,0:00:01.404746
gene_55,-20.311092595973463,-19.781294420110854,0.0,0:00:00.228863,0:00:00.228863
gene_56,17.923801388608183,17.04315976529,0.8806416233181835,0:00:01.531172,0:00:01.531172
gene_57,-18.60482936160416,-19.333009290156504,0.7281799285523434,0:00:00.232178,0:00:00.232178
gene_58,22.75287770204359,22.10557162649536,0.6473060755482294,0:00:01.320535,0:00:01.320535
gene_59,-19.082264515136707,-17.954586227491003,0.0,0:00:00.224206,0:00:00.224206
gene_60,27.843976963305572,26.488444880833327,1.3555320824722443,0:00:01.296025,0:00:01.296025
gene_61,-18.630512338177667,-20.6717735820369,2.041261243859232,0:00:00.222051,0:00:00.222051
gene_62,18.91758162341778,18.91931908889753,0.0,0:00:01.347059,0:00:01.347059
gene_63,-18.130528152843283,-16.667582405544767,0.0,0:00:00.229015,0:00:00.229015
gene_64,20.827444378215006,20.827451312748238,0.0,0:00:01.413613,0:00:01.413613
gene_65,-0.5203169079834495,-0.5334578637244753,0.013140955741025806,0:00:00.238697,0:00:00.238697
gene_66,26.234495397314163,26.23585687208861,0.0,0:00:01.390335,0:00:01.390335
gene_67,-16.26140993139405,-20.644498034202424,4.383088102808376,0:00:00.231188,0:00:00.231188
gene_68,15.895215658223592,15.895296169301549,0.0,0:00:01.369611,0:00:01.369611
gene_69,-13.266477826337002,-19.674443497067788,6.4079656707307855,0:00:00.226744,0:00:00.226744
gene_70,23.771201422053828,23.771468829359886,0.0,0:00:01.375428,0:00:01.375428
gene_71,2.637396114378454,1.4848411488299504,1.1525549655485037,0:00:01.325403,0:00:01.325403
gene_72,27.250340497648768,27.2503459769717,0.0,0:00:01.404971,0:00:01.404971
gene_73,-16.666074054797747,-17.736995460151277,1.0709214053535305,0:00:00.232287,0:00:00.232287
gene_74,19.98085478888157,19.980859888229222,0.0,0:00:01.375545,0:00:01.375545
gene_75,-16.366420267537922,-16.927924906935267,0.5615046393973451,0:00:00.231680,0:00:00.231680
gene_76,23.13935405958585,23.14382100726177,0.0,0:00:01.365598,0:00:01.365598
gene_77,-14.905887815917005,-14.780972237341135,0.0,0:00:00.223240,0:00:00.223240
gene_78,25.09714467360351,25.092732680828163,0.004411992775345652,0:00:01.288509,0:00:01.288509
gene_79,-15.824587803819062,-16.807650269294072,0.98306246547501,0:00:00.226124,0:00:00.226124
gene_80,15.496405480282483,15.49640682054114,0.0,0:00:01.364946,0:00:01.364946
gene_81,-16.67093800183826,-19.33456374986883,2.6636257480305723,0:00:00.230356,0:00:00.230356
gene_82,20.72967704843709,20.52951515530076,0.20016189313632893,0:00:01.328226,0:00:01.328226
gene_83,-14.393740831520908,-16.02722676294033,1.6334859314194219,0:00:00.307696,0:00:00.307696
gene_84,27.507761923223946,27.507762680090522,0.0,0:00:01.389110,0:00:01.389110
gene_85,-19.39101168325377,-21.047779452510593,1.656767769256824,0:00:00.221788,0:00:00.221788
gene_86,21.660877361952167,20.370389767352478,1.2904875945996892,0:00:01.288153,0:00:01.288153
gene_87,-6.771617242906615,-10.51699077627578,3.7453735333691647,0:00:00.232636,0:00:00.232636
gene_88,24.04181772131718,24.041832835542117,0.0,0:00:01.390426,0:00:01.390426
gene_89,4.93864710741483,5.984484192745349,0.0,0:00:01.532778,0:00:01.532778
gene_90,26.235497456039354,26.23549766983863,0.0,0:00:01.443855,0:00:01.443855
gene_91,-12.42265956131089,-17.000556192689405,4.577896631378515,0:00:00.233368,0:00:00.233368
gene_92,20.076592942076957,20.076604959675166,0.0,0:00:01.461509,0:00:01.461509
gene_93,-16.331722689885183,-18.248670253054286,1.9169475631691029,0:00:00.227869,0:00:00.227869
gene_94,20.566340557818997,20.566391952458723,0.0,0:00:01.401455,0:00:01.401455
gene_95,-12.825722248663986,-16.668654827837475,3.842932579173489,0:00:00.229798,0:00:00.229798
gene_96,25.341377734296202,25.341429790353914,0.0,0:00:01.408766,0:00:01.408766
gene_97,-14.757741135402238,-21.403846002297453,6.6461048668952145,0:00:00.227957,0:00:00.227957
gene_98,13.816995919023345,13.813898101325567,0.0030978176977782823,0:00:01.321435,0:00:01.321435
gene_99,-18.115180348686522,-20.777803169892383,2.6626228212058614,0:00:00.224233,0:00:00.224233
gene_100,18.93781888363684,18.61482063284675,0.32299825079008926,0:00:01.298064,0:00:01.298064
gene_101,-13.174676101548345,-19.38418841931633,6.209512317767986,0:00:00.222561,0:00:00.222561
gene_102,22.467230458609983,22.33579352864809,0.13143692996189316,0:00:01.293823,0:00:01.293823
gene_103,-13.93318245264537,-17.61264163655804,3.679459183912668,0:00:00.227750,0:00:00.227750
gene_104,16.064490235899065,15.96750865313465,0.09698158276441404,0:00:01.324236,0:00:01.324236
gene_105,-18.678428217550714,-18.197413504413483,0.0,0:00:00.229463,0:00:00.229463
gene_106,20.017640299510724,20.017641389948622,0.0,0:00:01.392711,0:00:01.392711
gene_107,-13.902264600433513,-14.294718896057663,0.3924542956241499,0:00:00.234967,0:00:00.234967
gene_108,22.005902585780085,22.005903939206622,0.0,0:00:01.400448,0:00:01.400448
gene_109,-18.05452509894004,-19.256591614559593,1.2020665156195527,0:00:00.224130,0:00:00.224130
gene_110,14.379451309961713,14.379451382048082,0.0,0:00:01.366416,0:00:01.366416
gene_111,-20.580857779018192,-19.21372403510196,0.0,0:00:00.226691,0:00:00.226691
gene_112,20.91101677241099,20.911043971569015,0.0,0:00:01.394501,0:00:01.394501
gene_113,-16.120989795794898,-16.58095491209857,0.4599651163036711,0:00:00.228577,0:00:00.228577
gene_114,30.009563790048375,30.009566519543736,0.0,0:00:01.410013,0:00:01.410013
gene_115,-17.8036259567058,-18.26807298733189,0.46444703062608994,0:00:00.230524,0:00:00.230524
gene_116,18.786730954288707,18.786731306974875,0.0,0:00:01.395462,0:00:01.395462
gene_117,-14.138407837834368,-17.014004442693555,2.8755966048591866,0:00:00.234524,0:00:00.234524
gene_118,20.439252829355045,20.43687463658729,0.0023781927677539727,0:00:01.349406,0:00:01.349406
gene_119,-7.845593690582444,-16.18714613428109,8.341552443698646,0:00:00.230638,0:00:00.230638
gene_120,25.617767752283356,25.041700474842333,0.5760672774410232,0:00:01.524443,0:00:01.524443
gene_121,-16.440773979309,-19.265701635794198,2.8249276564851975,0:00:00.223790,0:00:00.223790
gene_122,22.828340050410077,22.50694684698597,0.32139320342410826,0:00:01.309992,0:00:01.309992
gene_123,-18.638026752143357,-18.887213605878216,0.24918685373485872,0:00:00.231599,0:00:00.231599
gene_124,24.73091042229195,24.624279261642503,0.10663116064944589,0:00:01.418362,0:00:01.418362
gene_125,-17.096102834775422,-19.838233988279978,2.7421311535045554,0:00:00.228877,0:00:00.228877
gene_126,30.875321588240716,30.87536659042133,0.0,0:00:01.416360,0:00:01.416360
gene_127,-13.823249667569456,-17.990535774421097,4.167286106851641,0:00:00.225089,0:00:00.225089
gene_128,17.957687889278205,17.95770517579101,0.0,0:00:01.348753,0:00:01.348753
gene_129,-14.126681828760656,-17.130458805669335,3.0037769769086786,0:00:00.226793,0:00:00.226793
gene_130,20.52472922613325,20.52475629909476,0.0,0:00:01.360127,0:00:01.360127
gene_131,4.488949844654844,1.0857046004670998,3.403245244187744,0:00:01.292453,0:00:01.292453
