Sample,Pseudotime
aP60_2_09,6.3417809486
aP60_5_03,6.3958394115
aP60_1_01,6.4025280598
aP60_2_03,6.4592921653
aP18_3_12,6.5055079347
aP60_1_11,6.5686699021
aP60_3_05,6.7403465206
aP15_1_15,6.7627746142
aP60_1_13,6.8061128792
aP60_3_08,6.8888131488
aP60_5_16,6.9570243356
aP18_1_17,6.9867050786
aP60_1_10,7.2429384569
aP60_5_05,7.3156888279
