"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPNCRNA.610",2.06862342539483,-2.50324701974565,2.37544133776595,3.19760033165915,0.669551718287001,1
"SPAC11D3.16c",143.818659503524,0.277494163219144,0.325415502199245,3.05929698209911,0.690844291767943,1
"SPAC11D3.18c",30.7692357111872,0.0536962991389359,0.580850867778239,1.5343839980344,0.909068127592412,1
"SPNCRNA.612",46.5679436858838,-0.417899020545188,0.716028614846323,1.19447959410326,0.945405875911087,1
"SPAC5H10.01",27.6573239002732,-0.691407770879173,0.600198087414985,7.60832080314739,0.179183964240584,1
"SPAC5H10.03",2832.12247755476,0.175357675672627,0.168169905553493,3.46091555276405,0.629309680135027,1
"SPAC5H10.04",57.4197635860207,-0.0172158552144311,0.44531101952165,0.249455737598453,0.998487153495954,1
"SPAC5H10.06c",314.68554874439,0.19225397281499,0.245376553048105,5.76260915702363,0.330007643274866,1
"SPAC5H10.08c",382.892135339744,-0.120856218328996,0.275549077283932,2.53057486379032,0.771883560711258,1
"SPAC5H10.09c",114.674096914704,-0.214977607118465,0.275043317818062,8.61107432102108,0.125619398971888,1
"SPAC5H10.10",355.225163685641,0.110090651699845,0.224984320280767,1.04139690754045,0.959158197270611,1
"SPAC5H10.11",10.5341438553237,-0.847304503967455,1.17107298686807,0.75442344624858,0.979848830279672,1
"SPAC5H10.12c",412.450442760576,0.20774893098621,0.200720148005126,1.69388672916472,0.889669025686933,1
"SPAC5H10.13c",380.742350269008,-0.0195586772759121,0.258313283469417,2.74877986794957,0.738648258910662,1
"SPNCRNA.617",33.5050033407158,0.416311110732776,0.542357582583893,1.69125696420843,0.889999386906393,1
"SPAC13G6.01c",1335.66575977993,-0.133606295920482,0.144162558625513,8.13728070136591,0.148830345056892,1
"SPSNORNA.49",0,NA,NA,NA,NA,NA
"SPAC13G6.03",481.040266032918,0.151140393038064,0.219441865195628,3.2050225251636,0.668411056527116,1
"SPNCRNA.618",12.6904585342383,-0.113733150772245,0.9928040783732,8.54898923592566,0.128463108037373,1
"SPNCRNA.620",2.95401980371631,-0.91192737509974,2.22212447959316,2.59997954863707,0.761368375178898,1
"SPAC13G6.14",427.499816091267,-0.187387971022298,0.199856737846481,3.98218316371049,0.551983992411064,1
