,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPAC806.03c,-262.1884515937114,-134.88154499074363,-131.53979223327792,-4.232885630310079
SPAC806.04c,-214.9515150060261,-112.90119573205126,-108.80789497622992,-6.757575702255052
SPAC806.05,-189.4528256620668,-93.22134162811173,-95.69260367837484,0.5388803555802326
SPNCRNA.629,-129.34052515308016,-71.0964210031156,-58.13258331416644,0.11152083579813166
SPAC806.08c,-182.3987676773019,-95.8501338012994,-97.26691304195371,-10.718279165951204
SPAC1639.01c,-240.8963249242684,-124.69824663818254,-121.73153443738957,-5.533456151303767
SPAC1639.02c,-228.78900929121122,-118.69045154755527,-114.40975896493258,-4.3112012212766615
SPAC1F5.10,-240.71622369780587,-121.54640310224087,-122.90368082791443,-3.733860232349429
SPNCRNA.634,-147.36256299335145,-74.61166113079548,-76.85475415953434,-4.103852296978346
SPAC1F5.09c,-137.82612053547814,-71.54676379441617,-68.91224872756865,-2.6328919865066496
SPAC1F5.08c,-199.98621913868007,-103.66281778763693,-101.30135932482472,-4.977957973781572
SPAC1F5.06,-240.24442397931182,-126.09250709926692,-116.24143304786266,-2.0895161678177203
SPAC1F5.05c,-162.60109518442474,-84.16976116913156,-80.40660566357491,-1.975271648281705
SPAC1F5.03c,-218.73678823041803,-114.54986506799575,-108.7192149624292,-4.532291800006988
SPAC18B11.11,-217.42231686715664,-112.1441706891181,-110.13448359893921,-4.856337420900643
SPAC18B11.06,-218.4712971308514,-111.39127683132999,-111.47230805972255,-4.392287760201128
SPAC18B11.05,-173.7528666154462,-88.38745614543373,-84.83776210700431,0.5276483630081259
SPAC18B11.03c,-182.11269068869697,-91.96595625877502,-90.82724823898018,-0.6805138090582261
SPAC12G12.16c,-185.0992455251484,-95.36687359951412,-93.42432942640144,-3.69195750076716
SPAC12G12.13c,-240.6767403623644,-122.43753872237872,-124.04291953046491,-5.8037178904792475
SPAC12G12.12,-223.56134509542318,-112.68986294196355,-115.25088072787024,-4.379398574410659
SPAC12G12.11c,-181.56759228580154,-94.45906851567318,-91.39537324279846,-4.286849472670099
SPAC12G12.17,-160.8487456321364,-80.59128714357985,-84.4752304030338,-4.217771914477254
SPAC12G12.08,-197.365766504046,-104.89788518299521,-94.09468546891964,-1.6268041478687962
SPAC12G12.07c,-242.9603032005828,-125.9525728035632,-124.07254738400906,-7.0648169869894835
SPAC12G12.05c,-191.1534644871056,-100.43479651541504,-95.18975911444026,-4.471091142749742
SPSNORNA.29,-254.5638420445815,-126.24615137461069,-132.20458729716586,-3.886896627195
SPAC12G12.04,-323.56451363150495,-163.0233476115177,-167.0356645657153,-6.4944985457280495
SPAC12G12.02,-212.2937048373896,-109.74473451070844,-112.06188376995476,-9.512913443273616
SPNCRNA.640,-103.0162165601606,-55.03938566193994,-52.22701656131121,-4.250185663090549
SPAC12G12.01c,-226.6609020512153,-115.65673390897553,-116.52215550383819,-5.5179873615983865
SPAC630.04c,-181.0857139309585,-98.30387183880694,-92.3345625952768,-9.552720503125244
SPAC630.03,-241.2337901778264,-125.40466784127264,-123.48616182165087,-7.6570394850971875
SPAC630.06c,-187.6703320307681,-95.59480405774771,-96.93568822277865,-4.86016024975828
SPAC630.07c,-177.90990785183263,-89.29073356389766,-93.10290878227967,-4.483734494344702
SPNCRNA.641,-114.02561736585831,-57.242608413925545,-58.644282599347356,-1.861273647414592
SPAC630.08c,-271.3274373424869,-140.0812286955152,-135.0902581384943,-3.844049491522583
SPNCRNA.642,-121.84952361301913,-58.578573961794966,-61.39563202229496,1.875317628929196
SPAC630.09c,-193.87806961312515,-97.82712832971752,-98.50680478073366,-2.4558634973260207
SPAC630.10,-174.31154542534188,-90.57969638293429,-85.45862956817813,-1.726780525770522
