,gene,LLR_gpcounts,pval_gpcounts,qval_gpcounts,g,LLR_spatialde,pval_spatialde,qval_spatialde
62,Syn1,40.9238338783002,1.58279056527988E-10,3.7331246E-08,Necab2,14.2151466223795,0.000163052766798,0.038457159711865
63,Nrxn3,40.657589104338,1.81381465402808E-10,4.21116749E-08,Trnp1,14.173818488158,0.000166673631435,0.038696929523315
64,Igfbp7,40.3899217192369,2.08011385893769E-10,4.75514028E-08,Pmepa1,14.0175962851299,0.000181107845793,0.041401253548167
65,Hmgcs2,40.0256065362153,2.50655385336529E-10,5.6431642E-08,Sfrp5,13.8914610327473,0.000193676389526,0.043603598060066
66,Rgcc,39.4090840602462,3.43694406268469E-10,7.62232117E-08,Ncdn,13.6416420671083,0.000221223875949,0.049062172727164
67,Igf1,39.2836121837884,3.66504493420905E-10,8.00866216E-08,,,,
68,Snap25,38.9162265201062,4.4238801510943E-10,9.52672973E-08,,,,
69,Atp1a1,38.7480070432852,4.82202278107025E-10,1.02357766E-07,,,,
70,Gpt2,38.6964042536727,4.95120278110051E-10,1.03619609E-07,,,,
71,Foxd3,38.5849780137314,5.24208343399835E-10,1.08183497E-07,,,,
72,Grb2,37.6768255124973,8.34905811153419E-10,1.69943362E-07,,,,
73,Gpm6b,37.3636346276851,9.80331149591507E-10,1.95793857E-07,,,,
74,Unc13c,37.3479265192523,9.88258919143448E-10,1.95793857E-07,,,,
75,Meis2,37.2078116721486,1.06187558746029E-09,2.07610649E-07,,,,
76,Nsg2,37.083559502369,1.13173914684239E-09,2.15596307E-07,,,,
77,Prdx6,37.1053107193313,1.11918496692454E-09,2.15596307E-07,,,,
78,Rbfox3,36.9989572336392,1.18192433617992E-09,2.22306503E-07,,,,
79,Ppia,36.8406688940593,1.2818814898452E-09,2.38093463E-07,,,,
80,Ndrg4,36.7998493341472,1.30900368322529E-09,2.40129453E-07,,,,
81,Pmepa1,36.2633936358667,1.72371306117469E-09,3.12349419E-07,,,,
82,2310022B05Rik,36.2230940288769,1.75972814098202E-09,3.1503374E-07,,,,
83,Synpr,36.1987355006499,1.78186132515634E-09,3.15198541E-07,,,,
84,Igfbp4,36.0501902330457,1.92300009249635E-09,3.34164968E-07,,,,
85,Laptm4a,36.0164889072063,1.95654836776527E-09,3.34164968E-07,,,,
86,Psd,36.019274268382,1.95375360334538E-09,3.34164968E-07,,,,
87,Dcn,35.9830917186257,1.99037197834429E-09,3.36078832E-07,,,,
88,Sparc,35.4570385960886,2.60738475255096E-09,4.35316068E-07,,,,
89,Dclk1,35.3984670271828,2.68698285843527E-09,4.4362087E-07,,,,
90,Tspan3,35.3368538992414,2.77334200049495E-09,4.5284713E-07,,,,
91,Mapk1,35.2006008073681,2.97431779205937E-09,4.80384653E-07,,,,
92,Grin1,34.6617532923411,3.9226307757545E-09,6.20067773E-07,,,,
93,Sh3pxd2a,34.670939963231,3.90416310391828E-09,6.20067773E-07,,,,
94,Agt,34.4151065802526,4.45253955927427E-09,6.96424056E-07,,,,
95,Gprin1,34.0036416777932,5.50090195616804E-09,8.51436481E-07,,,,
96,Aplp1,33.5986443739794,6.77399214499275E-09,1.03767783E-06,,,,
97,Ablim3,33.4941607072835,7.14782644184453E-09,1.07282377E-06,,,,
98,Aqp4,33.5123233322806,7.08138947480563E-09,1.07282377E-06,,,,
99,Ube2ql1,33.4539044724895,7.29731342019591E-09,1.0843078E-06,,,,
100,Prdx1,33.3746089009721,7.60098883834104E-09,1.11824845E-06,,,,
101,Bpifb9b,33.3112065303512,7.85287990190397E-09,1.14397983E-06,,,,
102,Mfap3l,33.2294207765303,8.19019407849453E-09,1.18153489E-06,,,,
103,Msi2,33.032922684422,9.06114394627622E-09,1.29461094E-06,,,,
104,Doc2g,32.9499326641562,9.45630218573967E-09,1.33820185E-06,,,,
105,Hpcal4,32.9114483226768,9.64535895597862E-09,1.35207914E-06,,,,
106,S100b,32.7718062075364,1.03637141091184E-08,1.43920026E-06,,,,
107,Ppfia1,32.6625774038938,1.09627719124816E-08,1.5082947E-06,,,,
108,Col1a1,32.553272819255,1.15969677194627E-08,1.56653948E-06,,,,
109,Kcnj10,32.5631911287961,1.15379357179535E-08,1.56653948E-06,,,,
110,Plekhb1,32.4920943753351,1.19678382759503E-08,1.60207305E-06,,,,
111,Lrrc58,32.4138965709631,1.24592305361659E-08,1.65296167E-06,,,,
112,Cdhr1,32.3387892208005,1.29502200074683E-08,1.70289663E-06,,,,
113,Icam5,32.2321397633392,1.36808886441742E-08,1.78319583E-06,,,,
114,Tshz1,32.0188698234264,1.52682256837622E-08,1.97278753E-06,,,,
115,Slc7a11,31.6779005501361,1.81981272273646E-08,2.33108597E-06,,,,
116,Ctxn1,31.2798482813505,2.23386394937464E-08,2.83700722E-06,,,,
117,B2m,31.1000963611308,2.45059227355071E-08,3.08587717E-06,,,,
118,Pbx1,30.966793412716,2.62481054669195E-08,3.27748403E-06,,,,
119,Dynll1,30.7845029409868,2.88331302167322E-08,3.57026235E-06,,,,
120,Tmem132b,30.3900198629811,3.53341389480732E-08,4.33909067E-06,,,,
121,Dlgap1,29.9764972326803,4.37314850998405E-08,5.32627981E-06,,,,
122,Prkca,29.9308402055601,4.47734336272987E-08,5.40884919E-06,,,,
123,Gm13889,29.807142535658,4.77230553963537E-08,5.71868452E-06,,,,
124,Camk2n1,29.7869281785014,4.82232528353777E-08,5.73239451E-06,,,,
125,Egr1,29.7471706100904,4.92224172532474E-08,5.80472935E-06,,,,
126,Plp1,29.6876523050934,5.0757099190335E-08,5.93858061E-06,,,,
127,Bpifb9a,29.5673415869634,5.40072822019511E-08,6.26948599E-06,,,,
128,Eif1,29.2359449351653,6.40793558215336E-08,7.38104766E-06,,,,
129,Bgn,29.1539853822205,6.68480953924799E-08,7.61813681E-06,,,,
130,Phgdh,29.1448781540937,6.71630608906071E-08,7.61813681E-06,,,,
131,Hey2,29.1030939687047,6.86272993988268E-08,7.72525032E-06,,,,
132,Aspa,29.028190318934,7.13326671064607E-08,7.96941429E-06,,,,
133,Slc1a2,28.7952338993884,8.04488424765992E-08,8.92081605E-06,,,,
134,Gda,28.590598905606,8.94152465402698E-08,9.84163814E-06,,,,
135,Arf3,28.5116987634814,9.31340489174204E-08,1.01755797E-05,,,,
136,Igfbp2,28.2534413744664,1.06425250612219E-07,1.15428671E-05,,,,
137,Agap2,28.1602076464064,1.11677122882625E-07,1.20247128E-05,,,,
138,Psat1,28.0361848049821,1.19068094606156E-07,1.27282937E-05,,,,
139,Cebpd,27.9972289355528,1.21489297622013E-07,1.28943534E-05,,,,
140,Eno2,27.9602967632125,1.23830269149749E-07,1.30496026E-05,,,,
141,Gsn,27.6532210815797,1.45130197859444E-07,1.51865465E-05,,,,
142,Dbi,27.591354085844,1.49847072972165E-07,1.55704731E-05,,,,
143,Lamp1,27.5353023137448,1.5425311072903E-07,1.59169929E-05,,,,
144,Atp1a2,27.448994971017,1.61292670886048E-07,1.65286055E-05,,,,
145,Abl2,27.3129554628889,1.73048076201887E-07,1.76117902E-05,,,,
146,Ifitm3,27.2767494364901,1.76318884159699E-07,1.78226007E-05,,,,
147,Kcnj4,27.0305788337751,2.00262194938183E-07,2.01060537E-05,,,,
148,Clca1,26.5351278316738,2.58789302320928E-07,2.58077198E-05,,,,
149,Cav1,26.4465323084186,2.70934420343316E-07,2.67317991E-05,,,,
150,Ccnd2,26.4414112534275,2.71653655237181E-07,2.67317991E-05,,,,
151,Map2,26.0123843037361,3.39234270119171E-07,3.31623817E-05,,,,
152,Cplx1,25.8940236193931,3.60684104916409E-07,3.50287916E-05,,,,
153,Pcp4l1,25.6607079430197,4.07030644189454E-07,3.92731711E-05,,,,
154,Eef1a1,25.4496369311671,4.54083098899716E-07,4.35304566E-05,,,,
155,Plce1,25.1872188159695,5.20258456648826E-07,4.92389835E-05,,,,
156,Rcn2,25.189467029084,5.19652322727993E-07,4.92389835E-05,,,,
157,Bai2,25.012602664135,5.69568070374338E-07,5.35646326E-05,,,,
158,Sox10,24.995950826881,5.74508409179053E-07,5.36894368E-05,,,,
159,Atp1b2,24.9426923972443,5.90599655181379E-07,5.48482517E-05,,,,
160,Gabra1,24.7975356233093,6.36788307417646E-07,5.8770419E-05,,,,
161,Necab2,24.7072797086686,6.67316422564568E-07,6.12077452E-05,,,,
162,Tax1bp3,24.6739927727949,6.7894213695574E-07,6.1892032E-05,,,,
163,Dpf1,24.3922476206524,7.85842915407287E-07,7.12002432E-05,,,,
164,Edil3,24.2168461989118,8.60760787979586E-07,7.75154215E-05,,,,
165,Stxbp1,23.9385763045034,9.9458702640387E-07,8.90275218E-05,,,,
166,Nrep,23.9141713910179,1.00727539431578E-06,8.96233837E-05,,,,
167,Gad1,23.7657109901472,1.08803594012219E-06,9.62328931E-05,,,,
168,Ppm1e,23.6749974899592,1.1405472064574E-06,0.00010028,,,,
169,Snap91,23.6285713398505,1.16839762198673E-06,0.00010212,,,,
170,Vstm4,23.5503500961879,1.21687282550464E-06,0.00010574,,,,
171,Sh3gl2,23.5249225764455,1.2330611924849E-06,0.00010652,,,,
172,Igf2,23.3313719811292,1.36357693980571E-06,0.00011712,,,,
173,Gm1821,23.1199759823431,1.52201237391125E-06,0.00012997,,,,
174,Rcn1,22.9135566358226,1.69452527976066E-06,0.00014388,,,,
175,C1qtnf4,22.8851500072233,1.71975374008149E-06,0.00014481,,,,
176,Calb2,22.8793135609579,1.72498367201346E-06,0.00014481,,,,
177,Wls,22.8143720061136,1.78426414154664E-06,0.00014895,,,,
178,Psd3,22.6639759780394,1.92951613808834E-06,0.00015993,,,,
179,Rragd,22.6561950970421,1.93734562514702E-06,0.00015993,,,,
180,Camk2a,22.584824715497,2.01066534377681E-06,0.00016506,,,,
181,Prss23,22.4342790006865,2.17458091045231E-06,0.00017754,,,,
182,2010300C02Rik,22.3155838402957,2.31321735388867E-06,0.00018783,,,,
183,Trnp1,22.2329094480942,2.4149879329638E-06,0.00019502,,,,
184,Scd2,22.2135596840806,2.43944868971724E-06,0.00019593,,,,
185,Tspan15,22.0097695198838,2.71266184803665E-06,0.00021671,,,,
186,Celf2,21.9889429502907,2.74225733332134E-06,0.0002179,,,,
187,Slc4a4,21.9049196327729,2.86498499468824E-06,0.00022644,,,,
188,Nat8l,21.7947703522022,3.0342605512601E-06,0.00023855,,,,
189,Tbc1d9b,21.7305631702391,3.13752600511474E-06,0.00024537,,,,
190,Sncb,21.7192116945182,3.15614622903304E-06,0.00024553,,,,
191,Cdr1,21.6715237537796,3.23558951254022E-06,0.00024782,,,,
192,Ctsb,21.6814144692216,3.21894931309963E-06,0.00024782,,,,
193,Heyl,21.6780341460978,3.22462670854229E-06,0.00024782,,,,
194,Pik3r1,21.654302457589,3.26476896483907E-06,0.00024878,,,,
195,Hbb-b2,21.6442410012172,3.28193895904327E-06,0.00024881,,,,
196,Map1b,21.2291120414075,4.07527341761416E-06,0.00030738,,,,
197,Fkbp1a,21.0169018813718,4.5524949683351E-06,0.00034164,,,,
198,2900097C17Rik,20.9889329936624,4.61944083607335E-06,0.00034493,,,,
199,Myo5a,20.9645628629543,4.67857777886049E-06,0.00034759,,,,
200,Nnat,20.8575558921301,4.94736732770118E-06,0.00036574,,,,
201,Mt1,20.810277983088,5.07100944502348E-06,0.00037302,,,,
202,Fyco1,20.7255553099089,5.3003882440894E-06,0.00038797,,,,
203,Ifi27l1,20.6505145433241,5.51223709754911E-06,0.0004015,,,,
204,Mmd2,20.6390108114798,5.54545645847782E-06,0.00040195,,,,
205,Tyro3,20.5643550633699,5.765978090988E-06,0.00041591,,,,
206,Atp2b1,20.4892203307718,5.99680328527974E-06,0.0004288,,,,
207,Fam163b,20.4835382843885,6.01463206639785E-06,0.0004288,,,,
208,Fxyd6,20.4782537868805,6.0312611900315E-06,0.0004288,,,,
209,Dync1i1,20.4010885656336,6.27940662123461E-06,0.00044431,,,,
210,Dab2ip,20.3244374391687,6.53604513545236E-06,0.00046028,,,,
211,Lmo4,20.1797117145292,7.04966726006173E-06,0.00049411,,,,
212,Fmnl2,20.1064174209808,7.32504793266031E-06,0.000511,,,,
213,Arpc1b,20.0552408146395,7.5237064576239E-06,0.00052241,,,,
214,Bmp7,19.9050818621051,8.13837058388778E-06,0.00056246,,,,
215,Aebp1,19.8498630267159,8.37687351273875E-06,0.00057626,,,,
216,Limd2,19.8323238808597,8.45408795624447E-06,0.00057889,,,,
217,S100a16,19.7736553146204,8.71760145670919E-06,0.0005942,,,,
218,Slc13a4,19.5193778879607,9.95843271189845E-06,0.00067567,,,,
219,Cnn3,19.4500647804589,1.03264337081299E-05,0.00069746,,,,
220,Olfm1,19.310107747391,1.11116569413428E-05,0.0007471,,,,
221,Plekha4,19.2437458779575,1.15046640964955E-05,0.00077004,,,,
222,Dcx,19.2334056280532,1.1567145609126E-05,0.00077075,,,,
223,Yap1,19.2126819898966,1.16933970152333E-05,0.00077568,,,,
224,Itm2a,19.0596498484718,1.26695491415862E-05,0.0008367,,,,
225,Scamp1,19.0173962901994,1.29532123182008E-05,0.00085165,,,,
226,Lamc1,18.8334189784891,1.42645732359448E-05,0.00093373,,,,
227,Mdk,18.7697374922574,1.47488969309828E-05,0.0009612,,,,
228,Shisa9,18.6161159834836,1.59863395476911E-05,0.0010373,,,,
229,Aldh1a1,18.5830528941996,1.62660179638952E-05,0.00105086,,,,
230,Tnfrsf19,18.3013077134489,1.88577673804202E-05,0.00121302,,,,
231,Srebf1,18.1526606912122,2.03884366590801E-05,0.00130583,,,,
232,Slc17a7,18.0833108746669,2.11446671052329E-05,0.00134845,,,,
233,Hspa8,18.0697344864948,2.12959782005528E-05,0.00135229,,,,
234,Grasp,18.0494313531295,2.15242923146119E-05,0.00136098,,,,
235,Rgs12,17.9463930096286,2.27214592327662E-05,0.00143059,,,,
236,Gapdh,17.8565169854984,2.38202099142049E-05,0.00149344,,,,
237,Eomes,17.802916426771,2.45007409706011E-05,0.00152965,,,,
238,Usp54,17.7464282009078,2.52390910809863E-05,0.00156915,,,,
239,Shisa2,17.7187692560465,2.56087306681474E-05,0.0015855,,,,
240,Map2k1,17.702442908397,2.58294673456394E-05,0.00159253,,,,
241,Ncam1,17.5325633806427,2.82428898650267E-05,0.00173414,,,,
242,AI593442,17.5052939295529,2.8650879799752E-05,0.00175195,,,,
243,Mt2,17.4831686531847,2.89862540925334E-05,0.00176519,,,,
244,Zdhhc2,17.4723320556303,2.91519514471483E-05,0.00176804,,,,
245,H3f3a,17.4474068139788,2.95366934773833E-05,0.00178409,,,,
246,Cyp2j6,17.281374408551,3.22330911618485E-05,0.00193907,,,,
247,Celf1,17.2666512759125,3.24838236130942E-05,0.00194628,,,,
248,Kalrn,17.2186437958646,3.33150807791949E-05,0.00198807,,,,
249,Camk4,17.2099555438621,3.34677883264689E-05,0.00198919,,,,
250,Tshz2,17.1717299976937,3.41480539896022E-05,0.00202154,,,,
251,Tubb2a,17.0920538026859,3.56109898826951E-05,0.00209978,,,,
252,Ly6c1,17.0056365514255,3.72690162566691E-05,0.00218885,,,,
253,Gm20594,16.9774374965319,3.7826673001784E-05,0.00221286,,,,
254,Nfia,16.8454115848964,4.05512492728244E-05,0.00236295,,,,
255,Col1a2,16.7248956255698,4.32102374450238E-05,0.00250805,,,,
256,Akap12,16.6531119868305,4.48766232324926E-05,0.00259464,,,,
257,Trh,16.6317029553776,4.53860109752569E-05,0.00261392,,,,
258,Bag3,16.6190296242403,4.56902841314832E-05,0.00262128,,,,
259,Fam131b,16.5354801089526,4.77482030974974E-05,0.00272881,,,,
260,Ppp3ca,16.47025414667,4.94193729236869E-05,0.0028135,,,,
261,Rab3b,16.3922292758946,5.14959130493153E-05,0.00292053,,,,
262,Arhgap33,16.3490701390922,5.26820039985498E-05,0.00297643,,,,
263,Nrxn2,16.3231179405693,5.3408403961952E-05,0.00300604,,,,
264,Dtx4,16.3141649569347,5.36613269481734E-05,0.00300888,,,,
265,Cx3cl1,16.2727775415361,5.48462714851095E-05,0.00306376,,,,
266,Gria2,16.1627773711836,5.81251417917095E-05,0.00323476,,,,
267,Elovl5,16.1339263781497,5.90172980974302E-05,0.00325252,,,,
268,Nmb,16.1392651685824,5.8851175055441E-05,0.00325252,,,,
269,Pde5a,16.1242454057362,5.93197373471854E-05,0.00325252,,,,
270,Vat1l,16.129842944599,5.91446773935411E-05,0.00325252,,,,
271,Lrp4,16.0843719858574,6.05819265961927E-05,0.00330951,,,,
272,Arvcf,16.0447849485556,6.18617721451775E-05,0.00336705,,,,
273,Scrib,16.0374403944781,6.21021946806133E-05,0.0033678,,,,
274,Kcnd2,15.9960094761532,6.34761384654681E-05,0.00342979,,,,
275,Purb,15.9773280461308,6.41056185237687E-05,0.00345125,,,,
276,Ogn,15.8314476132181,6.92420820789241E-05,0.00371433,,,,
277,Aldoa,15.8154984254243,6.9828187223786E-05,0.00373229,,,,
278,Slc38a3,15.7882244926476,7.08420447289582E-05,0.00377291,,,,
279,Col12a1,15.764243381165,7.17457254056919E-05,0.00380462,,,,
280,Iqgap1,15.7588766248803,7.19495437269124E-05,0.00380462,,,,
281,Fam107a,15.7116442368078,7.37686417899841E-05,0.0038735,,,,
282,Pla2g16,15.7115205983758,7.37734637856757E-05,0.0038735,,,,
283,Pebp1,15.6903536148104,7.46036841620112E-05,0.0039033,,,,
284,Thbs2,15.6385015391286,7.66773825151557E-05,0.00399772,,,,
285,Phldb2,15.4936877742898,8.27812317691912E-05,0.00430086,,,,
286,Ttyh1,15.4668324402509,8.39657982822928E-05,0.0043472,,,,
287,Foxo1,15.3619316706774,8.8758628164376E-05,0.00457939,,,,
288,Slc6a11,15.3480981706224,8.94108853696229E-05,0.00459708,,,,
289,Col11a1,15.2346482458428,9.49453818920309E-05,0.00484809,,,,
290,Tmod2,15.2411148865679,9.46208459673414E-05,0.00484809,,,,
291,Sphk1,15.2266713064173,9.53472574402037E-05,0.00485193,,,,
292,Bcl11b,15.2082253390314,9.62831272300901E-05,0.00488284,,,,
293,Dab2,15.1710456324586,9.81976567593357E-05,0.00496299,,,,
294,Ppp3r1,15.1376008082245,9.99525755701614E-05,0.00503456,,,,
295,Serpine2,15.1190707268431,0.000100938440056,0.00506704,,,,
296,Camkv,15.0559794604459,0.000104369090686,0.00522162,,,,
297,Hlf,15.0373909659388,0.000105402064893,0.0052556,,,,
298,Gatm,14.8921910595209,0.000113833226061,0.00565702,,,,
299,Sp9,14.8478059860211,0.000116543558894,0.0057724,,,,
300,Rhobtb3,14.8209236431773,0.000118216594052,0.00583582,,,,
301,Angptl4,14.5829771625571,0.00013412066873,0.00657382,,,,
302,Gabrb2,14.5888753002656,0.000133701523517,0.00657382,,,,
303,Sep15,14.5777446906267,0.000134493616342,0.00657382,,,,
304,Acbd7,14.490411252724,0.000140874806549,0.00686314,,,,
305,Dnajc6,14.4835983246204,0.000141385243014,0.0068655,,,,
306,Dlgap3,14.4249151868858,0.000145859711917,0.00703678,,,,
307,Hadhb,14.4283195219487,0.000145596285083,0.00703678,,,,
308,Fam3c,14.3562867464773,0.000151273733853,0.00727436,,,,
309,Efemp1,14.3497844450428,0.000151797073244,0.00727598,,,,
310,Aqp1,14.3214441326884,0.000154099424849,0.00736258,,,,
311,Slc6a1,14.283343994981,0.000157250178245,0.00748904,,,,
312,Cacng3,14.261796673897,0.000159060706928,0.00755106,,,,
313,Syt7,14.2228116244454,0.000162389976175,0.00768456,,,,
314,Mlf2,14.1969143604824,0.000164640273827,0.00776632,,,,
315,Arhgap5,14.1182941424044,0.000171666094413,0.00807211,,,,
316,Tspan7,14.057830350429,0.000177274186092,0.00830952,,,,
317,Prss56,13.9854793599436,0.00018422792956,0.00860831,,,,
318,Nppa,13.9359745221408,0.000189143604994,0.0088103,,,,
319,Aldh2,13.8458002581365,0.000198439740784,0.00921443,,,,
320,Hba-a2,13.8337194922292,0.000199719638756,0.00924497,,,,
