gene,sv_genes_spatialde,LLR_gpcounts,LLR_spatialde,sv_genes_gpcounts,gene_sh,llr_gpcounts_shuffled,LLR_shuffled,sv_genes_gpcounts_shuffled,sv_genes_spatialde_shuffled,sv_genes_spark
Ahnak,Frzb,49.23938944,9.711235557,Nrxn3,1110058L19Rik,0.014707015,0.000964008,Tshz1,,Gng13
Ptn,Aqp4,48.90714483,27.42565893,Lpar1,1110059E24Rik,0.52971356,0.212882115,Icam5,,Gng4
Cpne4,Gpsm1,48.7084801,11.64549571,Omp,1110059G10Rik,0,0.000964009,Dbi,,Eno2
Vamp2,Slc17a7,48.58286061,9.802028207,Kif5b,1110065P20Rik,0.56010391,0.470546787,Cdhr1,,Mir703
Nrsn1,Pbx1,48.38971366,22.08588946,Ncdn,1190002N15Rik,0.079129188,1.023932268,Lamp1,,Sh3glb2
Beta-s,Gng13,48.33917376,6.897322751,Glul,1190005I06Rik,0,0.322314724,Lrrc58,,Mlf2
Id3,Baiap2,47.01345936,11.5470205,Sorbs1,1190007I07Rik,0.140851978,0.00096878,Kcnj10,,Cadm2
Baiap2,Rbfox3,46.75903942,15.21314175,Sparc,1200011I18Rik,0,0.000964011,Plekhb1,,Sft2d2
Atp1b1,Ptgds,45.27543194,17.11827717,Sash1,1200014J11Rik,0.02766919,0.000964011,Col1a1,,Dnm1
Snap25,Gna14,44.45167413,8.150337919,Cck,1300002E11Rik,0.004335478,0.000964009,Ppfia1,,C330021F23Rik
Ahcyl2,Olfr635,43.6244539,7.339144898,Prdx6,1300018J18Rik,0,0.00096401,S100b,,Reln
Kcnh3,Sorbs1,43.45434968,23.1324213,Psd,1500002O10Rik,0,0.000964011,Hpcal4,,Cspg5
Atp1a1,Rab3b,43.21262317,7.029863599,Ptgds,1500004A13Rik,0.13197186,0.000964009,Doc2g,,Mapk8ip1
Nudt4,Foxd3,42.71050685,6.251713577,Nr2f2,1500009C09Rik,0.062581577,0.165040656,Msi2,,Psat1
Meis2,Arhgap33,42.0473418,8.973877071,Sparcl1,1500009L16Rik,0.095488766,0.544988811,Mfap3l,,Gbp7
Nsg2,Igf1,41.9385553,2.088924964,Npy,1500011B03Rik,0,0.000964011,Bpifb9b,,Gnb5
Ppia,Vtn,41.87018252,4.186715227,Calm2,1500011K16Rik,1.11E-05,0.002171685,Ablim3,,Elovl5
Cldn5,Camk2b,41.71473569,5.736436776,Scd1,1500012F01Rik,3.40E-05,0.000964011,Aqp4,,Itm2a
Synpr,Necab2,41.21200678,3.970509786,Cpe,1500012K07Rik,0.064553568,0.079356443,Arf3,,Snx18
Syn1,Trnp1,40.92383248,10.39117048,Aplp1,1500015A07Rik,0.322669151,0.662216819,Slc1a2,,Camk4
Nrxn3,Pmepa1,40.65758442,10.58703263,Ppia,1500015O10Rik,0,0.000964011,Gprin1,,Bcan
Igfbp7,Sfrp5,40.38990612,3.094605438,Timp3,1500016L03Rik,0.063204351,0.609600235,Epas1,,Penk
Gja1,Ncdn,40.37675956,10.19692242,Grb2,1500017E21Rik,0,0.00096401,Prkca,,Akap12
Hmgcs2,,40.02561297,10.51580807,Igfbp7,1600002H07Rik,0,0.000964009,Agt,,Frzb
Rgcc,,39.40908907,9.63133415,Id3,1600002K03Rik,0.047689972,0.304736247,Grin1,,2900097C17Rik
Igf1,,39.28361692,14.54155234,Hmgcs2,1600012H06Rik,0.397825707,0.560237408,Sh3pxd2a,,Eef1a2
Gpt2,,38.69640281,7.360804956,Atp1a1,1600014C10Rik,0.000336309,0.070284415,Camk2n1,,Trim9
Foxd3,,38.58497394,14.62771444,Mbp,1600020E01Rik,0,0.00096401,Dlgap1,,Cbln4
Aplp1,,38.45440463,12.48468241,Nsg2,1600029O15Rik,0,0.00096401,Mapk1,,Hapln1
Ube2ql1,,37.82921471,8.366362554,Beta-s,1700001K19Rik,0,0.000966383,Sparc,,Vegfa
