gene_gpc,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,p_value,q_value,g_sde,LLR_sde
Gm5643,-625.1128163,-625.4019422,0.289125884,0.59078123,1,Nrd1,0.01021446
Sema3d,-343.073364,-343.7415799,0.668215923,0.41367431,1,Plcb4,0.364842218
Asah1,-531.9270744,-532.5769432,0.649868764,0.420159604,1,Rwdd1,0.000964009
Ezr,-505.9877095,-506.0192499,0.031540398,0.859040135,1,Mpp3,0.000964009
Ids,-723.5716679,-725.6381739,2.066506011,0.150566121,1,Gadd45gip1,0.00096401
Igfbp7,-610.3764557,-613.8534994,3.47704372,0.062225812,1,Arhgdib,0.084773531
Pla2g12a,-379.9596157,-379.9596019,-1.39E-05,1,1,Mbtps2,0.000964011
Plcb1,-669.9193272,-671.8310257,1.911698498,0.166774709,1,Rps19-ps3,0.000964007
Slc44a2,-275.4196301,-275.8542116,0.434581454,0.509749419,1,Glrx3,0.000964008
Arl14ep,-474.9129424,-474.9599422,0.046999855,0.828368498,1,Ccdc41,0.00096401
Trhr,-60.12888517,-60.27135244,0.142467277,0.705840422,1,Endod1,0.049671233
Armc1,-534.6284717,-535.2801565,0.651684824,0.419510954,1,Acvr2a,0.23191462
Rogdi,-515.1481686,-516.3543061,1.206137518,0.272098428,1,Kat2a,0.000964011
Csnk1g1,-355.3302399,-355.3302366,-3.26E-06,1,1,Zfp777,0.000964011
Junb,-471.986031,-472.649471,0.663440006,0.415348112,1,Smtn,0.00096401
Id3,-681.6639121,-681.9661493,0.302237198,0.582483286,1,Polr2i,0.204880226
Magee1,-655.7894624,-656.1207263,0.331263847,0.564915835,1,Mterfd2,0.000964006
Mepce,-360.2113743,-360.5797108,0.368336537,0.543912397,1,Sphk1,0.481895676
Upf1,-432.5630396,-432.7153211,0.152281492,0.696364548,1,Lyrm9,1.02985825
Plekhj1,-384.7834868,-385.0069339,0.223447052,0.636425897,1,Nptx2,0.000964009
Psmf1,-441.6004209,-441.6004624,4.15E-05,0.994861965,1,Ptchd2,0.900922593
Hnrnph1,-810.3774025,-810.3773873,-1.52E-05,1,1,Eapp,0.000964008
Prkar1b,-667.5375785,-667.5375813,2.77E-06,0.998672952,1,Pogk,0.000964006
Gpr56,-647.4571125,-647.5941571,0.137044592,0.711236946,1,Scai,0.000964009
Afg3l1,-366.0308816,-366.8323767,0.801495133,0.370646725,1,Eif2b4,0.00096401
Rab3a,-862.2638166,-862.263818,1.34E-06,0.999074959,1,Il2,0.000964011
Entpd5,-386.5876505,-386.7915874,0.203936878,0.651561703,1,9930013L23Rik,0.000964009
Cdh12,-199.6492099,-199.6492095,-3.89E-07,1,1,Mkl1,0.000964009
Aldoa,-983.1852252,-983.18523,4.84E-06,0.99824436,1,D16Ertd472e,0.000964009
Stau1,-484.0592214,-484.0592387,1.73E-05,0.996681962,1,Sema4c,0.00096401
Nrp1,-492.4991096,-493.3140365,0.814926899,0.366667609,1,AI661453,0.00096401
Tinf2,-187.4978152,-187.5627958,0.064980653,0.798790272,1,Lrrc48,0.000964011
Hnrnpc,-746.3666399,-746.4032091,0.03656915,0.848344915,1,Pknox2,0.205351853
Mar-08,-464.0865859,-464.1146842,0.028098281,0.866877974,1,Ptn,0.00096401
Dnajc6,-798.4183924,-799.2086785,0.790286024,0.374013652,1,Sox11,0.249918208
Uqcr11,-733.3438133,-733.7104234,0.366610101,0.544857877,1,Mrpl50,0.179127236
Rps15,-701.1132478,-701.1132454,-2.41E-06,1,1,Smim4,0.000964011
Mto1,-212.0798012,-212.0854646,0.005663377,0.940011499,1,Ero1lb,0.000964009
Celf5,-689.1095188,-689.5833181,0.473799333,0.491244471,1,Mical2,0.189822952
Mad2l1,-155.3511645,-156.0922554,0.741090821,0.389311673,1,Fst,0.000964009
Chst2,-701.9425617,-702.1616096,0.219047833,0.639766381,1,4933426M11Rik,0.000964009
Npdc1,-633.5481588,-634.0991658,0.551007016,0.457906519,1,Mrpl28,0.00096401
Abca5,-425.3952937,-426.3206512,0.925357462,0.336072199,1,Frmd6,0.000964008
Cdk4,-441.5004747,-441.5004987,2.40E-05,0.996090931,1,Pard6b,0.84312542
Ano4,-407.9300784,-408.0145374,0.084459003,0.771343253,1,Unc13c,0.000964011
Fgfr1op2,-398.3180862,-398.3180844,-1.74E-06,1,1,Zfp746,0.123360767
Nsg1,-778.7352189,-778.7352175,-1.31E-06,1,1,Abhd10,0.000964007
Fis1,-597.083174,-597.1550785,0.071904446,0.788583826,1,Slc15a4,0.000964011
Klhl2,-600.4883609,-600.5742916,0.085930633,0.769415699,1,A330102I10Rik,1.160806568
Gjc3,-296.7853419,-296.8318908,0.046548916,0.829181083,1,Amotl2,0.00096401
Col16a1,-298.2793396,-298.5836245,0.304284832,0.581208602,1,Rpl12,0.000964008
Hsd17b12,-591.3978784,-591.984121,0.586242615,0.443875766,1,Vhl,0.000964007
Csnk2a2,-263.0299037,-263.0299022,-1.57E-06,1,1,Rqcd1,0.000964008
Wdr5,-376.9776698,-376.9776551,-1.46E-05,1,1,Uspl1,0.000964011
Ccz1,-445.9987422,-445.9987681,2.60E-05,0.995933744,1,Aspscr1,0.696550381
Fth1,-1010.471711,-1010.471711,-1.51E-07,1,1,Dsel,0.00096401
Tmem131,-571.4511502,-571.4511985,4.82E-05,0.994458905,1,Caap1,0.040109768
Cyb5r4,-492.4796511,-492.7660049,0.286353821,0.592566618,1,Ubqln4,0.026582878
Ap1b1,-604.6538002,-604.6537968,-3.39E-06,1,1,Sema3f,0.000964009
Dnlz,-529.7956529,-529.9097312,0.114078267,0.735548017,1,Gpc3,0.000964011
Cacul1,-407.4510827,-407.5600818,0.108999148,0.741286481,1,Manea,0.000964009
Srsf1,-692.5465719,-692.5465912,1.93E-05,0.996494095,1,Ift88,0.064119363
Fxr2,-565.4561682,-566.8952277,1.439059541,0.230291588,1,Tbccd1,0.00096401
Usp13,-202.4921051,-202.4921049,-1.20E-07,1,1,Gpr22,0.000964011
Tax1bp1,-673.9665477,-673.9721416,0.005593819,0.940380337,1,Ccdc25,0.00096401
Rprd2,-517.9980689,-517.9980711,2.24E-06,0.998805935,1,Nme3,0.000964009
Nedd4l,-491.3207426,-491.7078283,0.387085748,0.533835248,1,Ccnt1,0.000964009
Taok3,-418.7305223,-418.7305216,-6.93E-07,1,1,Trim66,0.000964007
Lin37,-150.7839813,-150.843915,0.059933685,0.806600784,1,Msh6,0.000964008
Zfp212,-284.1582152,-284.1582141,-1.11E-06,1,1,Snx7,0.00096401
Znrf1,-642.0680424,-642.2770164,0.208974005,0.64757276,1,Cdh19,0.000964009
Cep19,-508.7353005,-510.0548937,1.319593222,0.250665068,1,Lsm14b,0.00096401
Cebpb,-187.066821,-187.1387762,0.071955253,0.788510922,1,9030624J02Rik,0.000964011
Ndufa5,-638.5057964,-640.407849,1.902052646,0.167848743,1,Cpped1,0.077298467
Mrps9,-405.8518517,-406.2945196,0.442667903,0.505837575,1,Katna1,0.00096401
Rasl10b,-848.6139038,-848.6139017,-2.03E-06,1,1,Ppil1,0.209379115
Cox6c,-1124.904373,-819.1750154,-305.7293579,1,1,Snx15,0.000964008
Wbp1,-464.3140495,-464.5493421,0.235292583,0.627626927,1,Amn1,0.000964002
Sp3,-507.244038,-507.3324363,0.088398207,0.766223466,1,Slc25a51,0.00096401
Syne2,-386.6157153,-386.6633346,0.047619299,0.827258899,1,Lingo1,0.000964011
Lin52,-408.5542756,-408.5542755,-1.04E-07,1,1,St8sia4,1.423461361
Lrwd1,-250.9649728,-250.9649767,3.89E-06,0.998426589,1,Plekhg2,0.332669688
Mgat4a,-311.4215928,-311.4758458,0.054252998,0.815821408,1,Tmem181b-ps,0.000964009
Elmo1,-637.5641855,-637.5693206,0.005135127,0.942872646,1,Dcun1d1,0.239364642
Mrpl18,-470.7227217,-470.7229489,0.000227153,0.987975066,1,Ddx25,0.216266299
Rsph9,-180.6843431,-180.7143799,0.030036829,0.862406692,1,Smyd1,0.000964009
Zfp955a,-320.0680143,-320.0680152,8.43E-07,0.999267354,1,Fdx1,0.032643107
Fip1l1,-309.4820846,-309.5699235,0.087838879,0.766942764,1,Usp6nl,0.00096401
Rad23b,-647.5847502,-647.5849998,0.00024966,0.987393437,1,Cryzl1,0.000964007
Csnk2b,-506.5662276,-506.6472391,0.081011496,0.775931314,1,Vopp1,0.076235654
Mdh2,-758.7505008,-759.4957052,0.74520431,0.387998835,1,Suco,0.000964011
Cacybp,-660.2690809,-660.2690723,-8.58E-06,1,1,Bclaf1,0.000964007
Srf,-344.5358691,-344.8883307,0.352461591,0.55272298,1,Prkdc,0.847436845
Plaa,-445.1545901,-445.1545869,-3.16E-06,1,1,Lrrk1,0.000964009
2010107E04Rik,-756.2688851,-756.2689067,2.16E-05,0.996295113,1,Map3k10,0.00096401
Fam207a,-389.3630855,-389.5497526,0.186667155,0.665705114,1,A330048O09Rik,0.000964011
Sharpin,-326.5239796,-326.5239784,-1.17E-06,1,1,Wnt3,1.094322338
Mex3c,-498.9061521,-498.9061363,-1.58E-05,1,1,Vps52,0.498611706
Tuba4a,-562.1670014,-562.3304873,0.163485876,0.685967224,1,Skiv2l2,0.00096401
Dact3,-566.7636818,-566.7702906,0.006608791,0.935207771,1,Slc45a1,0.356084145
Urod,-337.8409024,-337.9335249,0.092622505,0.760869288,1,Apbb3,0.957284954
Lin7a,-618.6651242,-618.6651228,-1.43E-06,1,1,Pwp2,0.000964009
Il6st,-445.5496998,-445.6691474,0.119447688,0.72963429,1,Iba57,0.000964008
Pdia3,-492.3988602,-493.0998044,0.700944199,0.402466611,1,Celsr3,0.000964008
Lnx1,-420.5648593,-422.6278479,2.062988639,0.15091393,1,1700037H04Rik,0.000964009
Sppl3,-562.2380365,-562.2384113,0.00037475,0.984555144,1,Psen1,0.150430662
Rhob,-634.4433522,-634.7560246,0.312672339,0.576044943,1,Tcf3,0.000964007
8430419L09Rik,-621.7898412,-621.8679407,0.078099485,0.779889644,1,Ddx19b,0.000964008
Cux1,-530.2348141,-530.2348001,-1.40E-05,1,1,Fkbp1b,0.000964009
Psma5,-495.7948011,-497.1401609,1.345359854,0.246090954,1,Eif4e2,0.000964009
Heg1,-31.4100469,-31.41004659,-3.17E-07,1,1,Mapk10,0.000964012
Nhp2l1,-596.267677,-596.4778817,0.210204663,0.646607038,1,Mrps23,0.000964011
Usp39,-352.3056747,-352.3056727,-1.99E-06,1,1,Pmm1,0.000964011
Mvk,-260.3590678,-260.3590657,-2.09E-06,1,1,Gsk3a,0.000964008
Cyth1,-472.4850441,-473.6499036,1.164859581,0.280459981,1,Fbxl14,0.00096401
Ankrd50,-476.2943962,-477.7921379,1.497741684,0.221019168,1,Lama5,0.000964011
Nbr1,-587.8970968,-588.9138198,1.016722997,0.313297587,1,Ift80,0.000964003
Ssrp1,-557.7167912,-558.0292067,0.312415521,0.576201694,1,Cort,0.000964007
Gtpbp4,-385.7468905,-385.7468867,-3.82E-06,1,1,Dis3l,0.0989976
Sh3bgrl3,-560.0056872,-560.0178368,0.012149606,0.912230737,1,Zfp266,0.000964009
Rftn2,-402.6119849,-402.6733801,0.061395202,0.804304204,1,Hapln4,0.00096401
Kcnb1,-609.9046137,-609.9046105,-3.21E-06,1,1,Tec,0.000964008
Sc4mol,-499.8083985,-499.8085001,0.000101599,0.991957751,1,C530008M17Rik,0.448851325
Xpo7,-496.16942,-496.187359,0.017938983,0.893452797,1,Pdcd4,0.414390168
Swi5,-643.4840854,-643.4840848,-5.71E-07,1,1,Guf1,0.000964009
Zfand6,-520.0103068,-520.0102999,-6.94E-06,1,1,Utp6,0.00096401
Phka1,-342.0794236,-342.7078369,0.628413283,0.42793793,1,Ap5s1,0.011796892
Rps29,-708.411281,-708.8889282,0.477647189,0.48948998,1,Zfp612,0.000964009
Lmo4,-630.1303914,-631.3432131,1.212821704,0.27077401,1,Lrpprc,0.289712036
Hiatl1,-504.2555039,-504.2554998,-4.06E-06,1,1,Ccdc74a,0.000964009
Chd5,-469.7036885,-469.7312514,0.027562837,0.868140744,1,Rasal2,0.021408917
Uqcrc2,-662.8994515,-662.8994503,-1.17E-06,1,1,Khsrp,1.078479362
Mpp2,-429.0034183,-430.2342031,1.230784776,0.267254472,1,Gm6402,0.000964007
Fam107a,-654.931236,-655.7213563,0.790120248,0.374063768,1,Dnaja2,0.00096401
Tnrc18,-439.6682329,-439.8396592,0.171426305,0.678847304,1,Axin1,0.00096401
Sel1l,-617.0457671,-618.0050336,0.959266492,0.327371754,1,Pcyt2,0.000964011
Axl,-580.4924727,-580.6186053,0.126132566,0.72247612,1,Nktr,0.000964011
Hspa13,-494.471273,-494.4712632,-9.83E-06,1,1,Rabl2,0.000964011
Ppp1cb,-831.2069034,-831.2105769,0.003673487,0.951670369,1,Rngtt,0.000964008
Sorcs3,-375.9728581,-378.2879283,2.315070154,0.12812552,1,Glt8d1,0.000964007
Tbrg1,-478.2629108,-478.4659743,0.203063486,0.652259369,1,Hes1,0.000964009
Ubfd1,-431.850621,-431.8549819,0.004360904,0.947348256,1,Gria4,0.00096401
Zfp961,-75.59388329,-75.59388324,-4.78E-08,1,1,Ticam1,1.243667442
Susd4,-147.2320224,-147.2320206,-1.76E-06,1,1,Ikzf2,0.218067103
Cdk5r2,-605.8751779,-605.8751728,-5.19E-06,1,1,Acaca,0.000964011
Cog4,-356.5681057,-356.5681007,-5.04E-06,1,1,Mtus2,0.00096401
Gdi2,-729.0858868,-729.0858782,-8.61E-06,1,1,Usp15,0.000964009
Atp5h,-727.2121361,-727.2121349,-1.18E-06,1,1,Crhbp,0.000964011
Kctd14,-169.6099133,-170.7374048,1.127491487,0.288311042,1,Tmem214,0.00096401
Tmem199,-453.2286046,-453.2481214,0.019516839,0.888894909,1,Ampd2,0.257231007
Hiat1,-392.6769147,-392.8133273,0.136412653,0.711873691,1,Fam122a,0.000964008
Kdelc2,-193.3752614,-193.8779669,0.50270555,0.478313733,1,Col18a1,0.000964011
Chchd10,-781.7292791,-781.7846722,0.055393068,0.81393141,1,Rac2,0.000964009
Slc25a5,-894.3398685,-895.7019143,1.362045732,0.243183253,1,Trim33,0.483679915
Pde1c,-402.1698807,-402.16988,-7.59E-07,1,1,Slc52a2,0.00096401
Gosr2,-479.5515814,-479.5515895,8.15E-06,0.997722424,1,Gbe1,0.000964011
Rmnd5a,-589.835812,-589.8358008,-1.12E-05,1,1,Zfp868,0.000964008
Gprc5b,-444.1209752,-444.88975,0.76877478,0.380596351,1,Tmcc1,0.00096401
Begain,-417.7557774,-418.042987,0.287209632,0.592014237,1,Tbcc,0.000964011
Ccrn4l,-600.2445985,-600.2698797,0.025281219,0.873668331,1,Nt5dc3,0.000964009
Kdm2a,-407.7730155,-407.7730137,-1.87E-06,1,1,Ccdc163,0.175068619
Jam2,-672.0580505,-672.3463189,0.28826842,0.59133231,1,Gm5088,0.827514614
Uba1,-707.0015154,-707.1001934,0.098678058,0.75342182,1,Itgb1bp1,0.00096401
Dnttip1,-410.3355572,-410.8766197,0.541062414,0.461992761,1,Syt16,0.000964011
Cct6a,-621.0528561,-621.7400232,0.687167105,0.407129628,1,Pik3c3,0.123108659
Dgkb,-341.089847,-341.9502468,0.860399861,0.353626818,1,Smg8,0.000964011
Exosc7,-361.061438,-361.1983864,0.136948382,0.711333781,1,Irf2,0.000964009
Gpi1,-732.0357112,-732.1485061,0.112794945,0.736984295,1,Cnih,0.000964009
Orai2,-281.5571633,-281.8104091,0.253245767,0.614798849,1,Yipf3,0.000964009
Idh2,-398.9500871,-399.3295431,0.379455929,0.537894558,1,Sesn1,0.288234876
Slc6a6,-553.1548104,-553.1548179,7.56E-06,0.99780663,1,Psmd5,0.00096401
Samd4b,-425.6805765,-425.7842131,0.103636623,0.747508433,1,Ubap1,0.000964012
Ttc9,-126.0651121,-126.1607852,0.095673073,0.757085237,1,Kcns2,0.133635759
Vps13b,-422.7711592,-422.771247,8.79E-05,0.992521654,1,Bag3,0.000964007
Serp1,-570.4266013,-570.5039844,0.077383134,0.780875537,1,Dmrta2,0.000964009
Clcn4-2,-678.3488203,-678.4400687,0.091248365,0.762596076,1,Amot,0.000964008
Ablim2,-320.9123283,-321.2121591,0.299830817,0.583988503,1,Thoc3,2.077982295
Gapdh,-852.8454321,-852.8454314,-7.01E-07,1,1,Lemd2,0.00096401
Grsf1,-581.426448,-582.5021066,1.075658638,0.299670782,1,Sdhd,0.00096401
Btbd9,-334.0003145,-334.0129369,0.012622443,0.91054618,1,Zmat4,0.869974659
Tmeff1,-546.6569647,-546.667888,0.010923274,0.916761088,1,Crtap,0.000964008
Slc30a4,-422.3501197,-422.3501175,-2.21E-06,1,1,Pcsk7,0.00096401
Psmd2,-667.4484831,-667.4484737,-9.35E-06,1,1,Fam63a,0.000964009
Kansl3,-462.7364148,-462.767244,0.030829281,0.860621803,1,BC030500,0.000964006
Nog,-470.8649623,-470.8649908,2.85E-05,0.99574205,1,Irak2,0.000964011
Chchd3,-566.7858051,-567.6704864,0.884681269,0.346922715,1,Fam198a,0.190844466
Errfi1,-371.7806543,-372.1095401,0.328885818,0.566315896,1,Tex15,0.899142512
Dll1,-180.8588156,-181.1826829,0.323867252,0.569292784,1,5730455P16Rik,0.000964009
Stxbp1,-914.3192134,-914.3192162,2.78E-06,0.99866981,1,Rit1,0.000964009
Gars,-518.8057723,-518.8057874,1.51E-05,0.996901232,1,Cc2d1b,0.000964009
Gm12070,-628.1378239,-628.1840635,0.046239634,0.829740787,1,Glg1,0.00096401
Vps72,-316.7019908,-317.0361669,0.334176076,0.563210349,1,Dirc2,0.000964009
Rtfdc1,-410.4624517,-410.4728839,0.01043223,0.918646908,1,Gm6251,0.00096401
Nudt9,-521.3675724,-521.6001976,0.232625206,0.629584073,1,Dlg1,0.000964008
Ccnf,-97.0185653,-97.01856503,-2.73E-07,1,1,Irak1bp1,0.605156743
Npat,-377.2285735,-377.3046952,0.076121669,0.782623679,1,Gmeb2,2.261442694
Mdn1,-400.5527498,-400.5947635,0.042013665,0.837593727,1,Gm694,0.18261848
Tln2,-447.3757309,-447.4693287,0.093597771,0.759652212,1,Tmem161b,0.000964011
Zfp715,-205.9252128,-206.4091391,0.483926341,0.486649208,1,Mettl23,0.000964009
Ndufaf4,-478.5552049,-478.6762626,0.121057716,0.727890131,1,Tmem2,0.002569408
Rpl22l1,-648.3960869,-648.4995121,0.103425171,0.747757381,1,Sh3bgrl2,0.000964008
Herc3,-400.699513,-400.6995091,-3.97E-06,1,1,Dnajb2,0.000964011
Cryl1,-250.9630888,-250.9630872,-1.54E-06,1,1,Nron,0.000964011
Glyr1,-636.1234408,-636.3769291,0.253488318,0.614629485,1,Atraid,0.000964009
Hn1,-551.8754893,-554.0709818,2.19549253,0.138414959,1,C2cd2,0.747741022
Crmp1,-735.0186803,-735.0186788,-1.44E-06,1,1,Rnf165,0.000964008
Cbx7,-428.9375878,-428.9375866,-1.19E-06,1,1,Adam11,0.000964007
Lrrc4b,-595.8003662,-595.8003554,-1.08E-05,1,1,E2f4,0.912213947
Lysmd2,-588.7521018,-590.2509138,1.498812057,0.220854237,1,Grm8,0.000964008
Ogfod3,-197.2878063,-197.2878221,1.59E-05,0.996823365,1,Cmss1,0.00096401
Cacfd1,-364.6464903,-364.6464857,-4.65E-06,1,1,Stoml2,0.000964008
Creg1,-457.9422422,-458.075109,0.132866758,0.715478008,1,Zfp688,0.119971832
Strn4,-581.7887312,-581.839041,0.050309863,0.822524963,1,3110047P20Rik,0.447409943
Rlim,-512.5509257,-512.5509231,-2.60E-06,1,1,Prss57,0.00096401
A530058N18Rik,-150.2085601,-150.2383153,0.029755234,0.863046775,1,Wdtc1,0.000964011
Atg3,-495.8556494,-496.4288912,0.573241884,0.448973546,1,Zfp414,0.000964008
Gcdh,-359.9494186,-360.0698366,0.120417921,0.728581662,1,Rhobtb3,0.755461584
Gga3,-487.3062247,-487.472249,0.166024262,0.683669617,1,Anxa4,0.000964011
Rsf1,-547.0292205,-547.1150355,0.08581501,0.769566492,1,Fars2,0.156389637
Arhgef7,-571.3231669,-571.323163,-3.90E-06,1,1,Zfp511,0.000964008
Gpr116,-302.0420528,-302.1225494,0.080496647,0.776625495,1,Cntn4,0.00096401
Ogfr,-477.2843326,-477.2843435,1.09E-05,0.997365519,1,Ncoa5,0.000964008
Ltbp4,-382.2565824,-382.8893899,0.632807545,0.426327354,1,Zfp942,0.000964011
Hint1,-780.9041964,-780.9041947,-1.67E-06,1,1,Man2c1,1.42877538
Slc7a6os,-339.702866,-340.3166702,0.613804193,0.433359049,1,Pbx4,0.000964008
Pip5k1c,-689.4489544,-689.4489568,2.44E-06,0.998753486,1,Tmem43,0.000964009
Rcn2,-871.3661341,-871.3661264,-7.63E-06,1,1,Dck,0.000964008
Efhd1,-321.8019829,-321.9135819,0.111598974,0.738331018,1,Cntrob,0.023271207
Rerg,-486.0337391,-486.1936165,0.159877432,0.689269388,1,Trap1,0.24108142
Tspan18,-159.8261952,-159.8261946,-5.66E-07,1,1,Fam184a,0.614247252
Ppm1j,-320.2375432,-320.8378931,0.600349845,0.438444575,1,D1Ertd622e,0.000964009
Cep350,-456.6613384,-457.5851548,0.923816341,0.336474917,1,Raver1,0.000964008
Mios,-275.6762042,-276.7086789,1.032474714,0.309578136,1,Gys1,0.000964007
Rabac1,-666.7343631,-666.9618175,0.227454456,0.633417769,1,Agmo,0.5800454
Tchp,-201.2750202,-201.2775365,0.002516243,0.959993158,1,Zfp7,0.51449971
Cdc42ep1,-261.0092161,-261.0092149,-1.15E-06,1,1,Bhlhe40,0.000964011
Necab1,-595.2678745,-596.7772022,1.509327753,0.219241694,1,Lgals8,0.148205891
Srsf9,-523.8987449,-523.8987422,-2.70E-06,1,1,Psme4,0.000964005
Serpine2,-898.7856676,-899.5261387,0.740471058,0.389510023,1,Pgf,0.155643082
Cask,-578.1639963,-578.2305985,0.066602192,0.796349793,1,Tmem29,0.000964009
Rnf187,-831.2112015,-831.2111946,-6.94E-06,1,1,Phf17,0.00096401
Epn2,-600.5968491,-601.1787176,0.58186846,0.445580875,1,Sema4b,0.000964007
Ube2e3,-747.6359639,-747.635978,1.42E-05,0.996995767,1,Desi2,0.139483771
Tshz2,-473.9325026,-475.4508029,1.518300303,0.217876889,1,Pnmal1,0.000964009
H3f3a,-910.9591493,-910.9591457,-3.53E-06,1,1,Pdgfc,1.666006466
Ckb,-1086.867638,-1086.867623,-1.50E-05,1,1,Gdpgp1,0.00096401
Pik3r1,-682.6221401,-682.7747846,0.152644499,0.696020882,1,Nphp3,0.000964011
Nufip1,-224.5193337,-224.6468464,0.127512648,0.72102508,1,Fam65b,0.000964009
Bloc1s4,-379.4899106,-379.4975861,0.007675513,0.930186648,1,Ift52,0.000964009
Pax6,-504.8574375,-504.85823,0.000792502,0.977541391,1,Ctps,0.000964008
Vps39,-401.6532953,-403.6930046,2.039709317,0.153238927,1,Nkain1,0.078563508
Ammecr1l,-399.1481426,-399.1481382,-4.33E-06,1,1,Cdk7,0.000964006
Limk1,-395.0312448,-395.0312435,-1.23E-06,1,1,Cyp1b1,0.181843027
Nedd9,-208.7529759,-208.9303652,0.177389283,0.673626516,1,Aarsd1,0.000964011
Mrps12,-506.1495193,-506.14952,7.14E-07,0.99932566,1,Pomgnt1,0.810007786
2310009B15Rik,-261.7559156,-261.7632759,0.00736037,0.93163129,1,Stambp,0.000964006
Immt,-614.4908371,-614.7325487,0.241711568,0.622972654,1,Zdhhc5,0.000964008
Ntrk3,-299.2078902,-299.2078877,-2.53E-06,1,1,Ppt2,0.000964009
Nus1,-562.8089787,-563.9300168,1.121038029,0.289695049,1,Tmem219,0.000964008
Tpm4,-428.9147131,-428.9972616,0.082548544,0.773872957,1,Rela,0.000964008
Magi1,-563.710441,-563.7132302,0.002789127,0.957881549,1,Snx30,0.000964008
Usf2,-471.3366333,-472.9125283,1.575894952,0.209352985,1,Gle1,0.00096401
Arpc5l,-612.9375972,-612.979515,0.041917766,0.837776606,1,Rilpl1,0.000964006
Ttll5,-288.3106498,-288.3106459,-3.92E-06,1,1,Zfp787,0.084069741
Tcf25,-712.9036466,-712.9036603,1.37E-05,0.997051206,1,Commd2,0.00096401
Tmem151b,-65.1394684,-65.13946844,3.66E-08,0.999847383,1,Foxf2,0.000964009
Pxdn,-367.3732761,-367.4065846,0.033308471,0.85518558,1,Kcne1l,0.00096401
Numb,-398.0114265,-398.4442294,0.432802945,0.510616781,1,Idh1,0.85495807
Capn2,-556.0502106,-556.2462092,0.195998595,0.657970238,1,Arrdc1,0.00096401
Aplp2,-792.3688706,-792.3689005,2.99E-05,0.995639796,1,Paqr9,0.000964005
Nsf,-760.1467595,-760.1467507,-8.81E-06,1,1,Plk2,0.54411521
Smpdl3a,-512.4651764,-513.9121022,1.446925808,0.229021874,1,1700021K19Rik,0.000964011
Kpna1,-421.3760538,-421.3760503,-3.56E-06,1,1,Dennd4c,0.081292418
Fbxo22,-491.3882515,-491.5963388,0.208087328,0.648270685,1,Asb6,0.000964008
Calr,-809.060595,-809.0605917,-3.33E-06,1,1,Traf6,0.000964011
Qpct,-449.8320597,-449.8484792,0.016419496,0.898039305,1,Zbtb22,0.000964011
Coprs,-338.2611058,-339.3020312,1.040925381,0.30760635,1,Slc12a4,0.079606951
Hist1h2ab,-48.51817153,-48.51817161,7.83E-08,0.999776674,1,Odf2,0.33791524
Rbm4,-374.5434815,-375.093734,0.550252419,0.458214574,1,Sdccag3,0.199031727
Sema3a,-429.3276773,-429.3276788,1.48E-06,0.999028979,1,Unc119b,0.000964011
Abl2,-668.1181787,-668.2833279,0.165149155,0.68445939,1,Rab33a,0.000964009
Slc25a18,-435.4252448,-435.9804785,0.555233682,0.456187065,1,Ttll7,0.000964009
Gm9866,-51.31274689,-51.32114984,0.008402949,0.92696214,1,Ets2,0.00096401
Map9,-499.9426111,-500.0390205,0.096409438,0.756181753,1,Nme2,0.000964009
Fam134a,-649.6972066,-649.6972622,5.55E-05,0.994053364,1,Ccnt2,0.000964008
Arsb,-618.7555403,-618.7555725,3.22E-05,0.995469454,1,Lman1,0.000964009
Atp9a,-559.5885301,-560.7267681,1.138237973,0.286024961,1,Ttc9b,0.00096401
Cst3,-1297.132191,-1297.132199,8.43E-06,0.997683878,1,Phf20,0.035243383
Ap2b1,-569.5664144,-570.0057716,0.4393572,0.507432871,1,Pin1,0.767388061
Etv5,-545.1608269,-545.229211,0.068384119,0.793704194,1,Dusp1,0.153590191
Sgsm3,-410.5965509,-410.6969003,0.100349383,0.751410763,1,Cul7,1.72622049
2310003H01Rik,-201.9887761,-201.9887754,-6.44E-07,1,1,Prkrip1,0.011280986
Etfb,-425.0195888,-425.0196828,9.40E-05,0.992263628,1,Shisa5,0.000964011
Sec23ip,-461.6882641,-462.1352489,0.446984825,0.503770301,1,Sardh,1.899466768
Khdrbs3,-519.1776994,-519.1776989,-4.45E-07,1,1,Dph3,0.356167359
S100a1,-732.6666871,-734.4038231,1.737136051,0.187502118,1,Tor2a,0.00096401
Abce1,-563.4545232,-563.7995517,0.345028483,0.556940968,1,Colgalt2,0.000964008
Plekhg5,-198.537118,-198.5485221,0.011404059,0.91495575,1,Rnf24,0.000964008
Gm996,-420.7544222,-420.805527,0.051104818,0.821151839,1,Dnajc15,0.234264751
Dok5,-166.3858713,-166.3862856,0.000414242,0.98376183,1,Mast1,0.000964012
Tgoln1,-613.1759428,-615.9002766,2.724333778,0.098829352,1,Cables2,0.000964008
Dock3,-690.007645,-690.0076434,-1.61E-06,1,1,Tjap1,0.000964009
9530082P21Rik,-566.9048168,-566.9048133,-3.53E-06,1,1,Qtrt1,0.00096401
Atp2b2,-736.7736224,-737.2971564,0.52353403,0.469338046,1,Mettl21d,0.129947917
