gene_gpc,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,p_value,q_value,g_sde,LLR_sde
Zpld1,-38.95818568,-39.28531479,0.327129115,0.567354479,1,Fam53c,0.014527594
Adat1,-47.83638554,-47.83638545,-8.87E-08,1,1,Slc25a31,0.066015293
Usp51,-24.07064469,-24.07049474,-0.000149947,1,1,Fam21,0.322054637
Rmst,-42.5691411,-42.56914104,-6.48E-08,1,1,Map3k1,0.030901749
Ap1g2,-70.05125982,-70.05125972,-1.07E-07,1,1,Rangrf,0.004825901
Irf7,-89.85220744,-89.85220718,-2.62E-07,1,1,Fam57b,0.072411428
Vwa3a,-73.49838836,-73.86255194,0.364163573,0.546202938,1,Cd164,2.312342691
Tnfaip8l2,-42.67723641,-42.67965855,0.002422145,0.960747722,1,Nanos3,0.006861296
Gimap8,-45.13137284,-45.13137275,-8.42E-08,1,1,Pld3,0.057400844
Tldc1,-44.31886387,-44.31972052,0.00085665,0.976650376,1,Ttc14,0.275099626
Gm16702,-30.5064058,-30.50640566,-1.48E-07,1,1,Steap4,0.01827637
1600029O15Rik,-24.93537814,-24.93527927,-9.89E-05,1,1,Cd81,0.132088402
Ppp3r2,-31.74971175,-31.74971149,-2.56E-07,1,1,Spred1,0.005110592
Slc25a47,-115.0428866,-115.0652595,0.022372858,0.881099466,1,Fbxw11,0.45933019
Otof,-15.46180918,-15.46166075,-0.000148423,1,1,Emc8,0.280846337
H2-T23,-40.62942562,-40.62971685,0.000291231,0.98638436,1,Casc4,0.718915781
Ptgr1,-87.17766517,-87.26962841,0.091963234,0.761695991,1,Ptpn12,1.463889864
Fam187b,-16.02396181,-16.02440481,0.000443005,0.983207625,1,Zfp326,0.002042045
A430105I19Rik,-62.20798101,-62.20798878,7.77E-06,0.997775267,1,2900026A02Rik,0.29075666
Fam60a,-85.61063451,-85.61540988,0.004775369,0.944906799,1,Nup93,0.192197693
Anpep,-64.79344222,-66.10146939,1.308027177,0.252752157,1,Hnrnpa3,0.216129198
Sostdc1,-35.33927054,-35.33927047,-6.73E-08,1,1,Slc7a2,1.160787212
4930404N11Rik,-52.57754137,-52.62533425,0.047792874,0.826949334,1,Atp6v0e2,0.624895166
Swsap1,-22.69140186,-23.37047614,0.679074273,0.409905677,1,Akap9,0.464073937
Capg,-57.08042314,-57.08042217,-9.70E-07,1,1,Sin3a,0.057906206
Gm7102,-47.90520679,-47.90520652,-2.62E-07,1,1,Slc38a2,0.942388529
Hist1h2af,-40.29151658,-40.62299427,0.331477691,0.564790263,1,Psmb5,1.378977868
Kif4,-47.3414448,-47.34144439,-4.13E-07,1,1,Gjb6,0.166052773
Gm4349,-22.08173348,-22.08173339,-8.63E-08,1,1,Reep2,0.111194188
Rgs14,-71.19390032,-71.19390008,-2.42E-07,1,1,Rpl10,0.166572055
Cyp26a1,-13.10408278,-13.10408496,2.18E-06,0.998822659,1,Grpel1,0.001742887
Map3k13,-72.01014706,-72.01051012,0.000363061,0.984797899,1,Eif2s2,1.264037716
Plekha7,-13.0854686,-13.08547012,1.52E-06,0.99901545,1,Smyd4,0.265987982
Zfp93,-62.20438664,-62.20438599,-6.55E-07,1,1,Kdm5a,0.029766232
Mafk,-66.65132685,-66.75658084,0.105253984,0.745613491,1,Gabrb3,3.289275931
Eaf2,-46.12489815,-46.12489782,-3.29E-07,1,1,Vipr2,0.004676025
Lpl,-86.76364038,-87.21185754,0.448217163,0.503182813,1,Gm5148,0.948837983
Alkbh8,-72.10552112,-72.26189573,0.156374606,0.692516503,1,Arfip2,0.029957518
2310015A10Rik,-103.5737578,-103.5737576,-2.59E-07,1,1,2700060E02Rik,0.036455461
Gpr81,-48.26767532,-48.26771546,4.01E-05,0.994945537,1,Pcnp,0.006636215
Snora61,-19.43819361,-19.43820091,7.30E-06,0.997843815,1,Sybu,0.208088241
Lars2,-72.32782614,-72.32782594,-2.02E-07,1,1,A330023F24Rik,0.407309472
Nfkbid,-114.5984729,-114.5985524,7.95E-05,0.992887339,1,Rbm18,0.000964012
Taf4b,-77.60246381,-77.60246379,-2.03E-08,1,1,Ly6a,0.057605892
Ifi203,-47.10393432,-47.34246113,0.238526807,0.625272163,1,Uba2,0.004799415
Zfp94,-78.30216564,-78.30216532,-3.25E-07,1,1,Cdh5,0.00243285
Hmha1,-56.1025203,-56.10252034,4.42E-08,0.999832285,1,Ctnna2,0.00646126
Abca9,-55.01992233,-55.02494206,0.005019738,0.943517052,1,Dcaf8,0.001210739
Agtr2,-30.65122644,-30.6512269,4.67E-07,0.999454663,1,Smim18,0.246951658
C2cd4d,-46.89444185,-46.95620383,0.061761976,0.803732432,1,Naa16,0.084452149
Slc35f2,-126.8522388,-126.8522387,-8.97E-08,1,1,Fam163b,0.035209909
Polr3b,-167.0243254,-167.0918728,0.067547331,0.794941918,1,Igf1,0.010230665
Milr1,-28.37659813,-28.37641181,-0.000186321,1,1,Zcchc8,0.128720276
Gemin2,-73.90280635,-73.90990005,0.007093707,0.93287822,1,Prr3,0.062553968
Zfp646,-18.20315874,-18.20315855,-1.90E-07,1,1,Usp5,1.006113216
Sash3,-51.49735515,-51.51488576,0.017530603,0.894665397,1,Arf1,0.004028113
Smc1b,-18.57567141,-18.5756774,5.99E-06,0.998046832,1,2010003O02Rik,0.083575629
Glb1l2,-39.00925633,-39.00911952,-0.000136815,1,1,2610301B20Rik,0.441796566
