"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPCC18B5.11c",203.734863143585,-0.178668924492051,0.224500241977226,0.618426720399611,0.431632527953478,1
"SPCC14G10.03c",301.985975829502,0.094725017084617,0.30478630890107,0.0935090708268831,0.759762617126411,1
"SPCC1020.10",732.915833771648,-0.449551831464677,0.803889541947484,0.295758071310843,0.586554031807915,1
"SPNCRNA.1156",4.9066245433668,0.667985083342496,1.19192279401793,0.344797592436635,0.557072964817846,1
"SPNCRNA.1158",44.9396987199849,-0.430339973715975,0.495985330276177,0.776526036183952,0.378205711586923,1
"SPCC1020.08",1176.68694665397,-0.0630323041847533,0.209342214099774,0.0943158556666504,0.758760509392905,1
"SPCC1020.07",318.939999647566,-0.0445649917712576,0.174800013866517,0.0640339050249281,0.800230182682293,1
"SPNCRNA.1159",15.3156357094193,-0.819049346352238,0.581351767648985,2.06252075296425,0.150960264230841,1
"SPCC1020.06c",2245.46173844511,-0.0113902803433971,0.282849220182738,0.00161369260456468,0.967956962693611,1
"SPCC1020.05",257.525510387309,-0.208046325936437,0.426700044325698,0.229761208673551,0.631700945196721,1
"SPCC1020.04c",817.277160285032,-0.0352129301407795,0.227504944263481,0.0253640055330493,0.873463395877687,1
"SPCC1393.03",9290.16367836938,-0.127776257244979,0.264483147244066,0.249478801731811,0.617442308460527,1
"SPCC1393.05",169.228425227589,0.0242704154766028,0.360338222391631,0.0043225076788076,0.947580223513128,1
"SPCC1393.06c",485.641405065643,0.0188278792101095,0.194859180438252,0.00940530870707335,0.92274150626815,1
"SPCC1393.09c",243.683943120848,0.185830018818491,0.322733448728586,0.35077663438642,0.55367382511487,1
"SPCTRNAGLY.11",288.931996177853,0.320434672860571,0.490688060803217,0.397698533410505,0.528280229875784,1
"SPCC2H8.02",875.49903960683,0.00681173747111458,0.203948979293698,0.00111467438011914,0.97336618404683,1
"SPCC2H8.04",99.64508035524,0.0299587275442784,0.32022032708604,0.00850708022574054,0.92651225656749,1
"SPCC63.02c",1524.24002141687,-0.0603076125217913,0.121337725350119,0.243961261798233,0.621359608281266,1
"SPCC63.05",110.017836391148,0.134185151935231,0.386041642263667,0.120633504191574,0.728348416320971,1
"SPCC63.06",297.621012074662,-0.141842124133106,0.268491739509231,0.282862977992636,0.594830830204228,1
