,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPAC1D4.02c,-203.60469598681908,-104.76363359134108,-104.10941791626587,-5.26835552078785
SPAC1D4.03c,-170.9026115209395,-87.16065554199352,-86.34328800031936,-2.601332021373395
SPNCRNA.670,-131.20719150448002,-67.94502648287397,-65.88873131733268,-2.6265662957266613
SPAC1D4.05c,-192.0298580402349,-95.32294722572918,-99.61607767511828,-2.909166860612572
SPAC1D4.07c,-108.7603306664223,-59.00149507276766,-50.490961217354595,-0.7321256236999292
SPAC1D4.10,-200.53877626554439,-105.37015495468607,-100.20038552655454,-5.031764215696229
SPNCRNA.671,-150.52314998871185,-78.06798282915128,-75.96059437373451,-3.5054272141739204
SPAC1D4.12,-206.02431654463257,-106.30612592514916,-103.28340832819805,-3.5652177087146133
SPAC1D4.14,-218.64024053821564,-111.67679425272007,-113.49401098730073,-6.5305647018051625
SPAC22F3.13,-204.3232295632198,-105.63437123755229,-103.16734491399365,-4.4784865883261205
SPNCRNA.675,-134.47825881717316,-70.51008360733546,-65.644257738329,-1.6760825284912926
SPAC22F3.11c,-174.37354918659597,-91.6877699116402,-86.04410302929136,-3.3583237543356286
SPAC22F3.10c,-232.0444996161369,-120.24514801843605,-168.2575771792619,-56.45822558156104
SPAC22F3.08c,-216.9090854819005,-110.74651939715687,-131.9185656364509,-25.755999551707284
SPAC22F3.07c,-217.22292938694642,-111.89458961195038,-110.58565722133044,-5.2573174463344685
SPAC22F3.05c,-223.6782140618316,-112.46549642952162,-120.36819407808798,-9.155476445778051
SPNCRNA.676,-67.72129192248265,-33.60410800230652,-32.86428069790114,1.2529032222749947
SPAC22F3.03c,-163.04681577979167,-84.79409891217225,-82.2085094673953,-3.95579259977589
SPAC1296.03c,-152.92178196888446,-78.40225286505728,-78.47267919195144,-3.9531500881242607
SPAC1296.04,-187.43712284274108,-95.90698447489125,-95.63701628670616,-4.1068779188562985
SPAC1296.05c,-200.44545414347942,-102.72418358094544,-102.40144157500713,-4.680171012473154
SPAPJ696.02,-229.64122109338638,-117.29624257990801,-117.61882033428934,-5.273841820810986
SPAC22G7.01c,-234.29874813493373,-122.00600717447114,-118.8868621157848,-6.5941211553221715
SPNCRNA.677,-154.38428693665188,-79.78866118378673,-78.05551465453199,-3.4598889016668584
SPAC22G7.03,-146.12407148685318,-75.03512409602703,-75.09486978492625,-4.005922394100111
SPNCRNA.678,-117.26662195604332,-56.773167706529826,-61.956404903151025,-1.4629506536375343
SPAC22G7.05,-244.75350117366085,-124.03665494800606,-125.10185515825658,-4.385008932601807
SPAC22G7.09c,-222.926492412514,-115.37304701867495,-112.85386450104319,-5.300419107204107
SPAC22G7.10,-204.5270784752425,-136.86876605680672,-136.0427654297522,-68.38445301131645
SPAC4G8.02c,-249.85037101757527,-126.74371081948289,-128.20343752366935,-5.096777325576966
SPAC4G8.03c,-187.84586501148303,-97.2964704246982,-94.84336769125194,-4.293973104467085
SPAC4G8.06c,-199.67387431027612,-101.08982164699891,-103.56948454431955,-4.9854318810423015
SPAC4G8.08,-147.71762406126328,-76.82166596045617,-74.7428909945404,-3.8469328937333103
SPAC4G8.11c,-157.2425392982356,-81.22192333660709,-81.3154482630795,-5.294832301450953
SPAC4G8.12c,-176.13180159228008,-91.76785556518641,-87.88836634595788,-3.5244203188641734
SPAC4G8.13c,-219.2375284624913,-109.89775209708091,-113.58975351508394,-4.249977149673498
SPAC16C9.05,-207.78049201275672,-107.75011469241302,-103.70933878339193,-3.6789614630482386
SPAC2G11.02,-254.40936892400313,-130.60904685414877,-128.9764814616559,-5.176159391801576
SPAC2G11.03c,-189.06612961207088,-98.68186320970446,-95.78145641203804,-5.397190009671617
SPAC2G11.06,-188.2130834137228,-99.71002762165949,-89.73701423383244,-1.2339584417691185
SPNCRNA.688,-161.0517935649224,-84.32728197570826,-81.5099486804918,-4.785437091277657
SPAC2G11.07c,-269.16890159433103,-140.2360316901396,-135.77609506672576,-6.843225162534338
SPAC2G11.09,-238.97811488803214,-121.33589149868759,-122.2147786956134,-4.572555306268838
SPAC2G11.12,-231.46618895887505,-117.70786749131595,-118.56967385058857,-4.8113523830294875
SPNCRNA.691,-105.82612813218071,-56.939665185790965,-45.25028494331088,3.6361780030788684
SPNCRNA.692,-128.34856147290364,-66.05258748445038,-64.01626311342571,-1.720289124972453
SPAC521.02,-205.03291327377204,-105.32122994471943,-103.72793447875331,-4.016251149700707
SPAC521.03,-253.5594019293716,-138.78981020352543,-132.51449910797785,-17.744907382131714
SPAC521.05,-332.45796386633185,-165.3023754058843,-171.31212265280826,-4.156534192360766
SPAC23G3.01,-265.5522691338797,-137.54498837802367,-136.37177963610839,-8.364498880252313
SPNCRNA.694,-92.17217833665657,-47.04549735757161,-49.5627230196943,-4.436042040609337
SPAC23G3.04,-170.895042062991,-89.46925707664099,-85.20389963387169,-3.7781146475216763
SPAC23G3.06,-293.61495419065665,-151.41278144132366,-182.76856590075943,-40.56639315142644
SPAC23G3.07c,-181.08803621249558,-92.67182318988488,-91.86285951162377,-3.4466464890130912
SPAC23G3.08c,-207.09371092110814,-106.07989045616185,-107.2021664119975,-6.188345947051174
SPAC23G3.10c,-203.7911098296154,-102.20030265006409,-106.37736906704708,-4.786561887495765
SPAC22H12.01c,-204.54538189144745,-119.82592027642154,-119.69871822263178,-34.979256607605855
SPAC22H12.02,-244.3172684813298,-126.5846898062803,-156.4237467605009,-38.69116808545141
SPAC22H12.05c,-202.91617653395824,-106.45202120614212,-101.08690390242779,-4.622748574611649
SPAC1687.01,-225.567963326309,-115.90176375406573,-132.1734730787193,-22.507273506476025
SPAC1687.04,-172.31652431214272,-91.4265228790784,-87.54278765547006,-6.652786222405752
SPAC1687.05,-209.6071183071385,-106.67856424524368,-107.73395573379429,-4.805401671899431
SPAC1687.06c,-287.68486994492116,-148.51283758493298,-143.06368792716424,-3.891655567176088
SPNCRNA.696,-117.2413075909096,-60.62668010823091,-58.41220757587409,-1.7975800931953785
SPAC1687.11,-279.2437405661298,-142.2607892954795,-162.6171412624954,-25.634189991845066
SPAC1687.12c,-209.14955191121524,-137.8938021191428,-105.11334130512682,-33.85759151305439
SPAC1687.14c,-190.52734189739468,-95.97986598369594,-99.00031465988678,-4.452838746188063
SPAC1687.16c,-173.68072775255962,-88.16060875331428,-89.07098403367294,-3.5508650344276025
SPATRNAALA.01,-173.63268924741953,-86.7321322237746,-88.3965153778573,-1.4959583542123482
SPAC1687.17c,-183.36916161475415,-94.0441445859977,-93.34147468076843,-4.01645765201198
SPAC1687.18c,-208.63777894880008,-105.26223671760285,-107.100752853318,-3.725210622120756
SPAC1687.19c,-233.10120987624916,-117.86119046169,-119.98752965637244,-4.747510241813359
SPAC1687.20c,-190.1691047308799,-96.41206854063871,-97.71737766121058,-3.9603414709694102
SPAC222.03c,-225.96604434548095,-117.56530824883257,-134.51993178794172,-26.119195691293303
SPAC222.19,-159.0980889134561,-84.26563264186989,-78.46556365901213,-3.633107387425923
SPAC222.04c,-189.64446807454274,-98.84523644994171,-96.96148135667629,-6.162249732075253
SPAC222.06,-241.37061283739118,-123.3947452804529,-122.41601887774915,-4.440151320810912
SPAC222.07c,-226.02655831550305,-116.404801519072,-113.4529019242257,-3.831145127794656
SPAC222.08c,-201.25605030720814,-105.88139586818649,-97.28578093261636,-1.9111264935946792
SPSNRNA.02,-370.802531952101,-183.9912211654584,-189.83742741950587,-3.0261166328633067
SPAC222.17,-179.56089722387566,-92.4736601944549,-91.30789288992763,-4.2206558605068665
SPNCRNA.701,-124.21920302157982,-65.22872996274907,-60.24742264528389,-1.256949586453146
SPAC222.15,-114.90057741437953,-59.56915355398168,-57.423634802545024,-2.09221094214719
SPAC222.18,-175.4338291079805,-90.32473337148257,-89.35216158282844,-4.243065846330524
SPAC222.16c,-160.0833428672693,-84.2916902730942,-80.06483968004561,-4.273187085870546
SPAC821.05,-295.1198099118785,-138.71726217582963,-143.07816425717414,13.324383478874664
SPNCRNA.702,-113.62244380310757,-59.92115085797283,-54.62235596234382,-0.921063017209093
SPAC821.06,-194.53403705740845,-98.53586973663342,-100.7610738032525,-4.76290648247749
SPNCRNA.703,-169.49648150570974,-89.37727784643099,-82.48537660658032,-2.36617294730155
SPAC821.08c,-266.66928459488344,-138.4413255200787,-133.16755761757636,-4.939598542771648
SPAC821.09,-310.3228594597705,-159.0736530962786,-156.3872497109286,-5.138043347436621
SPAC821.10c,-327.45969676228214,-165.62000442420089,-165.90059793900195,-4.060905600920762
SPAC821.12,-234.40888851288574,-121.31287364886197,-140.1640449642133,-27.068030100189503
SPNCRNA.220,-40.978848031006066,-21.48201342014545,-18.696368109413605,0.8004665014470049
SPAC139.01c,-202.27183597485782,-105.7045110406768,-99.703287764072,-3.135962829890929
SPNCRNA.704,-144.32435317565373,-75.95943909559202,-69.89347452019345,-1.5285604401317414
SPAC139.02c,-237.17320929416374,-115.84820281349752,-122.00311152686,-0.678105046193707
SPAC23C4.03,-235.8839022828128,-120.88451387016606,-121.70522748119595,-6.705839068549267
SPAC23C4.05c,-255.0309552885152,-130.03951940079048,-129.96510589028514,-4.973670002560425
SPAC23C4.06c,-205.5417620387645,-106.68001791138548,-104.83488705823063,-5.973142930851622
SPAC23C4.09c,-215.8088873729253,-111.2696700084793,-109.58586553867822,-5.0466481742321605
SPAC23C4.10,-179.18766162103103,-93.39546207739677,-89.73724798514891,-3.9450484415145866
SPAC23C4.11,-219.0739968896276,-113.57547004950227,-111.61680389156322,-6.118277051437873
SPAC23C4.13,-198.52097338446893,-101.53963466685629,-101.8264749293984,-4.8451362117857855
SPAC23C4.14,-185.3290044389525,-97.56224524066235,-91.6656092357901,-3.898850037499954
SPAC23C4.15,-233.48770653550355,-119.29422193314213,-119.15684380400695,-4.963359201645544
SPAC23C4.17,-233.7201805780449,-119.59075833944208,-144.87380410581414,-30.744381867211274
SPAC23C4.18c,-194.1811037841409,-99.07237283863114,-99.85277488374972,-4.744043938239884
SPAC1A6.01c,-182.28879221619798,-94.74022487766909,-134.60440684468193,-47.055839506153056
SPAC1A6.02,-225.17644043033715,-115.255593826092,-114.9923463862932,-5.071499782048079
SPAC1A6.03c,-274.34576572479017,-140.53331588209198,-138.9549458184697,-5.14249597577151
SPAC1A6.04c,-285.1100775902088,-145.7103489217499,-146.0410674027361,-6.6413387342772126
SPNCRNA.710,-123.49179986600672,-62.742520184477364,-62.56284433391506,-1.813564652385708
SPAC1A6.06c,-133.83593172709288,-67.75173251426781,-66.89593465993286,-0.8117354471077931
SPAC1A6.08c,-142.96618749516608,-70.43875401107593,-71.75401040446658,0.7734230796235693
SPAC30D11.14c,-202.97114265675256,-136.6690105674337,-130.6552257211593,-64.3530936318405
SPATRNASER.01,-246.92514165778007,-122.62975592845017,-128.27101108223206,-3.9756253529021137
SPATRNAMET.01,-172.82076749603453,-84.61310195360872,-91.07177790981743,-2.8641123673916127
SPNCRNA.711,-119.92488949140713,-63.082062732013824,-58.995905781366595,-2.153079021973312
SPAC30D11.07,-162.42081587510125,-85.61565125890762,-79.46511244595774,-2.6599478297640933
SPAC30D11.06c,-194.25165122290002,-100.24628670798724,-96.21375786539363,-2.2083933504808897
SPAC30D11.05,-191.8023802273444,-100.21828241839232,-92.70812731961786,-1.124029510665821
SPAC30D11.02c,-107.07070947565985,-52.02050405423778,-56.185773607250994,-1.1355681858289444
SPAC56F8.02,-229.8751348872428,-151.90553917166167,-116.88089604878996,-38.91130033320889
SPAC56F8.04c,-192.8247762243048,-101.37388697117485,-96.84539250834592,-5.394503255215994
SPAC56F8.06c,-187.73764864437797,-98.6572634318379,-91.33627564422169,-2.255890431681649
SPAC56F8.09,-233.6548137153623,-117.8248431543864,-120.0000552141185,-4.170084653142595
SPNCRNA.716,-173.04144316833504,-92.50880829967585,-84.44584705514448,-3.9132121864852816
SPAC56F8.12,-79.10026251197193,-41.15166117709846,-38.02437845654699,-0.0757771216735108
SPAC56F8.16,-239.14641375870806,-126.09974383757059,-113.97674844903734,-0.9300785278998376
SPAC22A12.02c,-88.08831210197168,-43.281699719599864,-46.213453889511,-1.406841507139191
SPAC22A12.04c,-309.09508300101203,-154.02207624608772,-159.79015382044838,-4.717147065524159
SPNCRNA.717,-75.95411692738145,-33.10873096965824,-42.54859427571859,0.2967916820046241
SPAC22A12.07c,-252.38765053277248,-129.96116765424463,-128.55264807223043,-6.126165193702548
SPAC22A12.08c,-219.73504816604702,-115.49039670145248,-108.93462255538456,-4.689971090790009
SPAC22A12.10,-240.05956594358344,-122.94847076202845,-123.14026304355728,-6.029167862002282
SPAC22A12.09c,-179.56502633601158,-94.53423751631081,-86.15536766195714,-1.1245788422563692
