,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,lengthscale,,pval,q value,BIC_periodic,BIC_linear,BIC_rbf
Gtf2h4,-238.4410371,-238.4444861,0.003448997,0.000968947,,0.953168627,1,499.1316958,493.571015,499.1248007
Mageh1,-566.7524674,-566.752497,2.96E-05,0.078938074,,0.995658479,1,1155.747721,1150.18704,1155.747661
Cdk14,-729.3632741,-737.8375224,8.474248275,0.806958746,,0.003602092,0.09556976,1488.782243,1483.22156,1480.969275
Zmiz1,-634.1048979,-634.7947452,0.689847227,0.766136058,,0.406216349,1,1291.832216,1286.27154,1290.452522
Ndufc1,-643.5958644,-643.6000299,0.004165469,0.933927632,,0.948539905,1,1309.442783,1303.88212,1309.434455
Ttyh2,-276.7127237,-276.7127217,-1.99E-06,0.066684101,,1,1,575.66817,570.107488,575.6681739
Tpk1,-68.67674167,-68.67674136,-3.08E-07,0.000111501,,1,1,159.596208,154.035528,159.5962099
Hnrpll,-447.4725529,-448.9817731,1.509220244,1.50692626,,0.219258109,1,920.2062751,914.645648,917.1878323
Pde12,-279.8812347,-280.6675927,0.786358019,5.244779259,,0.375203657,1,583.5779126,578.017229,582.0051959
Cops8,-549.2368413,-549.236838,-3.26E-06,0.000394477,,1,1,1120.716402,1115.15572,1120.716409
Arhgap5,-606.3962698,-620.5145642,14.1182944,2.267802963,,0.000171666,0.007546705,1263.271847,1257.71117,1235.035266
Hey1,-440.7980028,-441.2170006,0.418997761,1.534833694,,0.517437566,1,904.6768409,899.116145,903.8387321
Cox14,-624.4461563,-625.1262094,0.680053179,1.273002678,,0.409568413,1,1272.495107,1266.93446,1271.135039
Pak6,-442.4448926,-443.224688,0.779795436,2.084280255,,0.37720371,1,908.6921052,903.131424,907.1325117
B230217C12Rik,-358.3263244,-358.3289197,0.002595356,0.330911889,,0.959369634,1,738.900567,733.339885,738.8953753
2410004B18Rik,-414.5748928,-414.5748501,-4.27E-05,0.257118871,,1,1,851.3924265,845.831745,851.3925121
1600012H06Rik,-391.3728456,-391.4226655,0.049819913,0.92549584,,0.823376936,1,805.0880597,799.527378,804.9884177
Pdap1,-616.2080537,-616.3294659,0.121412151,1.922787088,,0.727507917,1,1254.901656,1249.34097,1254.658834
Gpatch2l,-290.1452721,-290.1452727,5.69E-07,2.83678331,,0.99939832,1,602.5332721,596.97259,602.5332707
Rasgrp3,-218.1499305,-219.4110825,1.261152038,1.36752244,,0.261433138,1,461.0648907,455.50421,458.5425875
Hnrnpul2,-678.0587706,-678.1742055,0.115434907,0.723849077,,0.734039435,1,1378.591138,1373.03046,1378.360268
Adamts15,-202.5077161,-202.5098823,0.002166156,0.546705351,,0.962878274,1,427.6198547,421.701809,427.2581587
Apc,-954.8587092,-1038.863654,84.0049448,1.706326398,,0,0,2099.972711,2094.41219,1931.960145
Rab33b,-455.2520407,-455.4003247,0.148284038,0.814813064,,0.700180616,1,933.0433922,927.482711,932.7468079
Btbd3,-762.4984824,-769.5589003,7.060417853,1.432886995,,0.007880561,0.174772034,1561.360527,1555.79985,1547.239691
B4galt5,-455.7623489,-455.7623496,6.43E-07,0.729317941,,0.999360444,1,933.7674187,928.206738,933.7674243
Slc2a1,-682.2702979,-694.7651767,12.49487874,2.001772255,,0.000408069,0.016002946,1411.773051,1406.21235,1386.783322
Rd3,-91.8140114,-92.22446269,0.410451288,1.563120332,,0.521740538,1,206.6916532,201.13097,205.8707493
Coq6,-254.6449859,-256.4944608,1.849474876,1.473021086,,0.173844482,1,535.2316447,529.670964,531.5326983
Vdac1,-786.4996811,-787.6309133,1.131232143,0.820282242,,0.287512673,1,1597.504553,1591.94387,1595.242089
Plec,-374.6998511,-375.6916588,0.99180776,0.811665414,,0.319300943,1,773.6260431,768.065362,771.6424287
Gclm,-368.6327249,-368.6327429,1.81E-05,0.041565442,,0.996609596,1,759.5081722,753.947491,759.5081763
Tuba1a,-1085.191687,-1092.965534,7.773846899,9.04929045,,0.005300804,0.129122377,2208.173795,2202.61308,2192.626101
Brd4,-550.0536244,-550.5271444,0.473519961,0.6787492,,0.491372263,1,1123.297006,1117.73632,1122.349975
Pyroxd2,-113.7315128,-113.9170519,0.185539058,2.247228161,,0.666655649,1,250.0768302,244.516148,249.7057521
Itsn1,-588.296182,-588.3983571,0.102175081,0.642897825,,0.749234902,1,1199.039441,1193.47876,1198.835091
Ctsb,-843.9046073,-865.5878256,21.68321834,1.869303794,,3.22E-06,0.000242817,1753.419035,1747.85841,1710.051941
Srcin1,-443.9751642,-443.9998798,0.024715569,0.000135446,,0.875077882,1,910.2424878,904.681806,910.1930549
Tspan31,-489.4793724,-489.6485158,0.169143458,0.202019332,,0.680874168,1,1001.539761,995.979078,1001.201471
Paics,-467.7965212,-469.3421267,1.545605512,1.210776646,,0.213785361,1,960.9268887,955.366206,957.8357689
Mark1,-507.170273,-507.2077931,0.037520087,1.151663067,,0.846409989,1,1036.658313,1031.09768,1036.583273
Aip,-411.6300337,-411.7820787,0.152044926,0.628263472,,0.696588764,1,845.8068834,840.246202,845.5027939
Nudt3,-658.4361697,-659.030447,0.594277283,1.48400813,,0.44076987,1,1340.303619,1334.74294,1339.115066
Ccnh,-608.4221432,-608.4221397,-3.51E-06,0.001758991,,1,1,1239.087006,1233.52632,1239.087013
Ube2ql1,-809.7863623,-847.615577,37.82921471,1.847909321,,7.72E-10,1.55E-07,1708.723249,1703.16257,1641.815451
Auts2,-406.0989265,-409.0439379,2.945011411,2.428941677,,0.086143091,0.905874158,840.3306015,834.76992,834.4405795
Cd99l2,-434.0785696,-434.1118462,0.033276533,1.26E-06,,0.855254257,1,890.4666243,884.905736,890.3998657
Tcerg1,-526.1412316,-526.1487461,0.007514477,0.655231364,,0.930921038,1,1074.540225,1068.97954,1074.52519
Fzr1,-350.2735921,-351.5408975,1.267305341,0.925570046,,0.260272805,1,725.32452,719.76384,722.7899107
Chmp5,-633.4376015,-633.43769,8.84E-05,0.129498176,,0.99249737,1,1289.117898,1283.55722,1289.11793
Mfsd2a,-386.6118503,-394.7977431,8.185892744,1.181738311,,0.00422174,0.108097129,811.8382172,806.277532,795.4664271
Naca,-530.9023082,-531.3442124,0.441904239,0.90025729,,0.50620479,1,1084.931338,1079.37048,1084.047343
Tada1,-480.8340664,-481.8735937,1.039527301,0.682162415,,0.307931435,1,985.9899138,980.429232,983.9108593
Slu7,-463.1270636,-463.1270172,-4.64E-05,1.352098471,,1,1,948.4967597,942.936078,948.4968537
Tbp,-337.2840303,-337.3175476,0.033517278,0.513624329,,0.854737408,1,696.8778222,691.317141,696.8107871
Phc3,-438.7216081,-439.7005398,0.978931735,1.208745784,,0.322462686,1,901.643824,896.083142,899.6859427
Slc38a6,-98.45121039,-98.4512115,1.11E-06,0.578119838,,0.999157745,1,219.1451498,213.584467,219.1451473
Csnk1g3,-606.5401242,-610.4706826,3.930558366,2.132929963,,0.047416198,0.620208884,1243.184044,1237.62335,1235.322975
Mar-05,-600.1938545,-600.1938507,-3.74E-06,0.050547723,,1,1,1222.630445,1217.06974,1222.630436
Gm13889,-722.9393597,-752.7465023,29.80714261,1.687004235,,4.77E-08,5.63E-06,1527.735731,1522.17505,1468.121446
Htr3a,-191.6162195,-191.9690226,0.352803108,1.400452533,,0.552530632,1,406.1807716,400.62009,405.4751655
Shisa3,-642.2724512,-653.4325932,11.16014198,0.898684262,,0.000835735,0.028352033,1329.107944,1323.54724,1306.787629
Rab18,-651.9271269,-651.9271248,-2.05E-06,1.636207379,,1,1,1326.096976,1320.53629,1326.09698
Pld1,-195.6848273,-195.6924616,0.00763426,0.656399192,,0.930374034,1,413.6276501,408.066972,413.6123811
Zfp91,-624.3787599,-624.3787578,-2.05E-06,0.359109471,,1,1,1271.000243,1265.43956,1271.000246
Plcl1,-392.4161828,-392.4416661,0.025483242,0.001932982,,0.873168832,1,807.1260587,801.565376,807.0750921
Bgn,-476.9801448,-506.1341302,29.15398533,1.937861452,,6.68E-08,7.50E-06,1034.510988,1028.95032,976.2030161
Col9a1,-62.97489594,-65.23413256,2.259236618,3.692916382,,0.132819519,1,152.6111598,147.050479,148.1925184
Neto2,-502.9224851,-503.4048728,0.482387621,3.666316797,,0.487342808,1,1029.052461,1023.49182,1028.087697
Ppp3cc,-452.1439363,-454.1984054,2.054469162,1.637437065,,0.151760137,1,930.639643,925.07887,926.5305991
Mat2b,-578.9612841,-578.9928977,0.031613595,1.835475476,,0.858878379,1,1180.228524,1174.66784,1180.165295
Tgfbr2,-328.4575802,-328.6074254,0.149845233,1.816568643,,0.698683303,1,679.4575787,673.896896,679.1578869
Daam1,-416.994003,-417.1938658,0.199862847,0.714282431,,0.654831575,1,856.6304577,851.06978,856.2307325
Rps4x,-696.4556248,-703.2426014,6.786976616,0.642912315,,0.00918253,0.197592234,1419.883435,1414.32277,1415.153976
Anapc4,-436.1103342,-436.1104114,7.72E-05,0.000594754,,0.992988689,1,894.4635492,888.902868,894.4633949
Eprs,-578.5758377,-579.3625279,0.786690133,0.641495025,,0.375102837,1,1180.967782,1175.4071,1179.394402
Pcsk6,-348.428408,-351.3898036,2.96139556,1.179563752,,0.085274311,0.900562179,725.0225059,719.461653,719.0995425
Ptprd,-747.2829752,-752.615247,5.33227184,1.041883651,,0.020934081,0.343712158,1527.473217,1521.91254,1516.808677
Psmb10,-344.9631526,-345.4471558,0.48400313,1.007091077,,0.486614637,1,713.1371944,707.576358,712.1690317
Fancc,-184.7840766,-184.7840859,9.36E-06,0.000115732,,0.997558325,1,391.8108794,386.250196,391.8108797
Acbd5,-581.024294,-581.2432522,0.218958241,1.857563464,,0.639834836,1,1184.729197,1179.16859,1184.291315
1200011I18Rik,-359.513506,-359.9027844,0.389278424,3.463122296,,0.532678937,1,742.0482779,736.487597,741.2697385
Syt4,-588.308731,-588.3455512,0.036820261,0.594377139,,0.847831455,1,1198.93381,1193.37317,1198.860189
Rbm42,-492.4469614,-492.5298355,0.08287407,2.24E-06,,0.773439693,1,1007.302399,1001.74172,1007.136649
Pygb,-666.8073514,-668.7863381,1.978986706,1.277297778,,0.159497196,1,1359.815403,1354.25473,1355.857429
Eomes,-617.3913972,-635.1943111,17.80291392,1.255965954,,2.45E-05,0.001456228,1292.631349,1287.07067,1257.025521
Aldh7a1,-467.5619397,-472.9329122,5.370972549,2.192983883,,0.020474559,0.338795091,968.1085561,962.547867,957.3666059
Mypop,-433.0974541,-433.4885918,0.391137768,1.265662175,,0.531701948,1,889.2199644,883.659281,888.4376347
Aco2,-752.9436558,-755.2054438,2.261788013,1.470000818,,0.132600884,1,1532.653614,1527.09293,1528.130038
Nr2f1,-575.7680197,-579.399729,3.63170923,0.897626884,,0.056688569,0.698133868,1181.042318,1175.48164,1173.778766
Cdk17,-665.9715003,-677.2415438,11.27004351,1.132400861,,0.000787679,0.02709287,1376.725702,1371.16502,1354.185727
Steap2,-452.5681939,-453.1402056,0.572011735,0.050731389,,0.449460612,1,928.5231386,922.962457,927.3791143
Car10,-438.7360735,-443.5192241,4.783150636,2.243853874,,0.028739493,0.427895914,909.2811752,903.720493,899.7148735
Lamtor1,-561.0043741,-561.0043724,-1.71E-06,0.00069512,,1,1,1144.251471,1138.69079,1144.251475
Vps26a,-493.3166056,-493.383578,0.066972425,2.190173023,,0.795797035,1,1009.009694,1003.44901,1008.875938
Sertad4,-460.1860547,-461.3246349,1.13858019,1.175762362,,0.28595254,1,944.8919964,939.331511,942.6148359
Atg9a,-480.7062044,-480.8629886,0.156784186,0.554141039,,0.692134663,1,983.9687083,978.408026,983.6551353
Rpl10a,-628.13139,-630.5450597,2.413669776,0.706838167,,0.120280104,1,1283.332846,1277.77216,1278.505507
B3galtl,-410.8622708,-410.9061266,0.043855821,0.84534662,,0.834122087,1,844.0549788,838.494297,843.9672681
Cand2,-414.8983259,-414.9779813,0.079655476,2.193686501,,0.777764843,1,852.1986894,846.638009,852.0393783
Tmx3,-528.5848701,-530.4649221,1.880052063,4.243875944,,0.170328231,1,1083.172569,1077.61189,1079.412467
Ank2,-774.2924039,-780.3064613,6.014057354,0.750438436,,0.014192358,0.271059438,1582.857911,1577.29723,1570.827534
Cul1,-581.8001102,-581.882748,0.082637847,0.606193445,,0.773754006,1,1186.008218,1180.44753,1185.842947
Syt13,-452.6530761,-453.0078747,0.354798557,0.91991696,,0.551409272,1,928.2584499,922.697768,927.5488787
Tiam2,-700.0460385,-701.3462359,1.300197405,0.767006846,,0.254177168,1,1424.93521,1419.37452,1422.334804
